515;LEDS C4;ИСПАНИЯ;CARLA;8150713109;Люстра Carla Тиффани;Люстра Carla;ЛЮСТРЫ;20-2376-Y2-AE;1;шт;Люстра;6;G9;60;Люстра Carla, 6-ти рожковая. Широко представленная серия  в стиле тиффани.;тиффани;220;;;;;;;;;;;;;;;75;52;;;;;;;Tiffany glass;Old brown;;;;;;;;18783;8;ЛЮСТРЫ тиффани
525;LEDS C4;ИСПАНИЯ;FUSTA;8,1507E+11;Люстра Fusta;Люстра Fusta;ЛЮСТРЫ;20-2381-21-20;1;шт;Люстра;4;E14;60;Четырёхрожковая люстра Fusta. Покрытие - высококачественная гальваника. Деревянные вставки венге. Вся серия оснащена диммерами.;современный;220;;;;;;;;;;;;min 68/ max 96;;;;;min 16/max 56;;;;;;;Chrome and wenge wood;;;;;;;;13366;0;ЛЮСТРЫ современный
870;LEDS C4;ИСПАНИЯ;FUSTA;8,1507E+11;Люстра Fusta;Люстра Fusta;ЛЮСТРЫ;20-2383-21-20;1;шт;Люстра;5;E14;60;Пятирожковая люстра Fusta. Покрытие - высококачественная гальваника. Деревянные вставки венге. Вся серия оснащена диммерами.;современный;220;;;;;;;;;;;;min 45/ max 63;;;;;;;;;;;;Chrome and wenge wood;;;;;;;;15956;22;ЛЮСТРЫ современный
547;LEDS C4;ИСПАНИЯ;XENIA;8150703301;Люстра Xenia;Люстра Xenia;ЛЮСТРЫ;20-0575-Y2-E7;1;шт;Люстра;4;E14;60;Четырёхрожковая люстра Xenia. Популярная серия. Плафоны оригинальной кубической формы, из стекла, обсыпанного изнутри крошкой. Арматура под венге с кожанными вставками.;модерн;220;;;;;;;;;80;;;;;;90;70;13.май;;;;;;Ambar glass;Old brown;;;;;;;;10969;0;ЛЮСТРЫ модерн
548;LEDS C4;ИСПАНИЯ;XENIA;8150703302;Люстра Xenia;Люстра Xenia;ЛЮСТРЫ;20-0576-Y2-E7;1;шт;Люстра;5;E14;60;Пятирожковая люстра Xenia. Популярная серия. Плафоны оригинальной кубической формы, из стекла, обсыпанного изнутри крошкой. Арматура под венге с кожанными вставками.;модерн;220;;;;;;;;;;;;;;;87;70;;;;60;;;Ambar glass;Old brown;;;;;;;;14785;0;ЛЮСТРЫ модерн
961;MIRADA DE CRISTAL;ИСПАНИЯ;BENIDORM;50110/6/46;Люстра Benidorm хрустальная;Люстра Benidorm;ЛЮСТРЫ;50110/6/46;1;шт;Люстра;6;E14;40;Хрустальная одноярусная люстра Benidorm, арматура с гальваническим покрытием, цвет античная бронза. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;75;;;;;;;;70;;;;Ancient bronze;;;;;Asfour crystal;;;31890;0;ЛЮСТРЫ хрусталь
1026;MIRADA DE CRISTAL;ИСПАНИЯ;TENERIFE;54110/6/99;Люстра Tenerife хрустальная;Люстра Tenerife;ЛЮСТРЫ;54110/6/99;1;шт;Люстра;6;E14;40;Хрустальная одноярусная люстра Tenerife, арматура с гальваническим покрытием, цвет чёрный никель. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;68;;;;;;;;66;;;;Black Chrome;;;;;Asfour crystal;;;20460;20;ЛЮСТРЫ хрусталь
1034;MIRADA DE CRISTAL;ИСПАНИЯ;ALICANTE;55010/4/01;Люстра Alicante хрустальная;Люстра Alicante;ЛЮСТРЫ;55010/4/01;1;шт;Люстра;4;E14;40;Хрустальная люстра небольших размеров Alicante, арматура с гальваническим золочением (24К Gold) или хромированием. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;43;;;;;;;;33;;;;Chrome;;;;;Asfour crystal;;;12016;0;ЛЮСТРЫ хрусталь
1035;MIRADA DE CRISTAL;ИСПАНИЯ;ALICANTE;55010/4/24;Люстра Alicante хрустальная;Люстра Alicante;ЛЮСТРЫ;55010/4/24;1;шт;Люстра;4;E14;40;Хрустальная люстра небольших размеров Alicante, арматура с гальваническим золочением (24К Gold) или хромированием. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;43;;;;;;;;33;;;;Gold;;;;;Asfour crystal;;;14015;24;ЛЮСТРЫ хрусталь
1048;MIRADA DE CRISTAL;ИСПАНИЯ;FROST;57010/6/01;Люстра Frost хрустальная;Люстра Frost;ЛЮСТРЫ;57010/6/01;1;шт;Люстра;6;E14;40;Хрустальная одноярусная шестирожковая люстра Frost, арматура с гальваническим золочением (24К Gold) или хромированием. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;84;;;;;;;;65;;;;Chrome;;;;;Asfour crystal;;;40864;0;ЛЮСТРЫ хрусталь
1049;MIRADA DE CRISTAL;ИСПАНИЯ;FROST;57010/6/24;Люстра Frost хрустальная;Люстра Frost;ЛЮСТРЫ;57010/6/24;1;шт;Люстра;6;E14;40;Хрустальная одноярусная шестирожковая люстра Frost, арматура с гальваническим золочением (24К Gold) или хромированием. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;84;;;;;;;;65;;;;Gold;;;;;Asfour crystal;;;44073;4;ЛЮСТРЫ хрусталь
1929;L'ARTE LUCE;ИТАЛИЯ;LATO;L30506.80;Люстра Lato;Люстра Lato;ЛЮСТРЫ;L30506.80;1;шт;Люстра;6;G9;60;Люстра Lato, 6-ти рожковая.;флористика;220;;;;;;;;;;;;55;;;;;;;;56;;;;;;;;;;;;3521;73;ЛЮСТРЫ флористика
1931;L'ARTE LUCE;ИТАЛИЯ;FLORA;L33006.81;Люстра Flora подвесная;Люстра Flora;ЛЮСТРЫ;L33006.81;1;шт;Люстра;6;E14;60;Люстра Flora, 6-ти рожковая.;флористика;220;;;;;;;;;;;;53,5;;;;;;;;80;;;;;;;;;;;;3756;239;ЛЮСТРЫ флористика
1941;L'ARTE LUCE;ИТАЛИЯ;TULIP;L37005.83;Люстра Tulip кованая;Люстра Tulip;ЛЮСТРЫ;L37005.83;1;шт;Люстра;5;E27;60;Люстра Tulip, 5-ти рожковая.;ковка;220;;;;;;;;;;;;46,5;;;;;;;;78;;;;;;;;;;;;7493;83;ЛЮСТРЫ ковка
1949;L'ARTE LUCE;ИТАЛИЯ;CANDLE;L37304.84;Люстра Candle;Люстра Candle;ЛЮСТРЫ;L37304.84;1;шт;Люстра;4;E27;60;Люстра Candle, 4-х рожковая.;модерн;220;;;;;;;;;17,5;;;68;;;;;;;;;;;;;;;;;;;;2671;202;ЛЮСТРЫ модерн
1952;L'ARTE LUCE;ИТАЛИЯ;FLOWER;L38005.85;Люстра Flower подвесная;Люстра Flower;ЛЮСТРЫ;L38005.85;1;шт;Люстра;5;E14;60;Люстра Flower, 5-ти рожковая.;флористика;220;;;;;;;;;;;;45;;;;;;;;78;;;;;;;;;;;;4368;120;ЛЮСТРЫ флористика
16290;L'ARTE LUCE;ИТАЛИЯ;LUCCA;L40706.98;Люстра Lucca;Люстра Lucca;ЛЮСТРЫ;L40706.98;1;шт;Люстра;6;G9;60;Люстра Lucca 6-ти рожковая. Высоту можно изменять.;хай-тек;;;;;;;;;;;;;;;;63;38;;;;52;;;;;;;;;;;;7924;29;ЛЮСТРЫ хай-тек
16292;L'ARTE LUCE;ИТАЛИЯ;WENGE;L41306.98;Люстра Wenge;Люстра Wenge;ЛЮСТРЫ;L41306.98;1;шт;Люстра;6;G9;40;Люстра Wenge 6-ти рожковая. Высоту можно изменять.;современный;;;;;;;;;;;;;;;;54;38;;;;53;;;;;;;;;;;;7161;28;ЛЮСТРЫ современный
16881;LEDS C4;ИСПАНИЯ;BROOKLYN;8150711207;Люстра Brooklyn 4-х рожковая;Люстра Brooklyn;ЛЮСТРЫ;00-2776-21-14;1;шт;Люстра;4;E27;60;Люстра Brooklyn, 4-х рожковая. Но фото тот же товар в исполнении Black fabric shade.;современный;220;;;;;;;;;;;;;;;90;58;;;;83;;;;Chrome;;;;;;;;23952;4;ЛЮСТРЫ современный
17009;L'ARTE LUCE;ИТАЛИЯ;CAPRI;L15005.37;Люстра Capri кованая;Люстра Capri;ЛЮСТРЫ;L15005.37;1;шт;Люстра;5;E14;60;Люстра Capri, 5-ти рожковая.;ковка;;;;;;;;;;;;;67,5;;;;;;;;77;;;;OR with gold;;;;;;;;10087;0;ЛЮСТРЫ ковка
17049;L'ARTE LUCE;ИТАЛИЯ;FIRENZE;L50706.06;Люстра Firenze;Люстра Firenze;ЛЮСТРЫ;L50706.06;1;шт;Люстра;6;E14;60;Люстра Firenze, 6-ти рожковая.;флористика;;;;;;;;;;;;;45;;;;;;;;74;;;;;;;;;;;;12664;42;ЛЮСТРЫ флористика
17043;L'ARTE LUCE;ИТАЛИЯ;PADOVA;L51306.06;Люстра Padova;Люстра Padova;ЛЮСТРЫ;L51306.06;1;шт;Люстра;6;E14;60;Люстра Padova, 6-ти рожковая.;флористика;;;;;;;;;;31;;;56;;;;;;;;;;;;;;;;;;;;9691;49;ЛЮСТРЫ флористика
19937;L'ARTE LUCE;ИТАЛИЯ;PISA;L55906.02;Люстра Pisa;Люстра Pisa;ЛЮСТРЫ;L55906.02;1;шт;Люстра;6;E14;60;Люстра Pisa, 6-ти рожковая.;классика;;;;;;;;;;;;;73;;;;;;;;55,5;;;;Shiny white+gold foil;;;;;;;;15159;21;ЛЮСТРЫ классика
