550;LEDS C4;ИСПАНИЯ;XENIA;8150703561;Бра Xenia настенное;Бра Xenia;Светильники НАСТЕННЫЕ;05-0576-Y2-E7;1;шт;Бра;2;E14;60;Двухрожковое бра Xenia. Популярная серия. Плафоны оригинальной кубической формы, из стекла, обсыпанного изнутри крошкой. Арматура под венге с кожанными вставками.;модерн;220;;;;;;;;;28;;;22,5;;;;;11,5;;;;;;Ambar glass;Old brown;;;;;;;;5246;48;Светильники НАСТЕННЫЕ модерн
553;LEDS C4;ИСПАНИЯ;XENIA;8150731002;Бра Xenia настенное;Бра Xenia;Светильники НАСТЕННЫЕ;05-0578-Y2-E7;1;шт;Бра;2;G9;60;Двухрожковое бра Xenia. Популярная серия. Плафоны оригинальной кубической формы, из стекла, обсыпанного изнутри крошкой. Арматура под венге с кожанными вставками.;модерн;220;;;;;;;;;27;;;14,5;;;;;11,5;;;;;;Ambar glass;Old brown;;;;;;;;5511;44;Светильники НАСТЕННЫЕ модерн
606;LEDS C4;ИСПАНИЯ;SABANA;81507033101;Бра Sabana кованое;Бра Sabana;Светильники НАСТЕННЫЕ;05-2318-S4-E7;1;шт;Бра;2;E14;60;Двухрожковое бра Sabana. Оригинальные плафоны из стекла, изнутри обсыпаны крошкой.;ковка;220;;;;;;;;;16;;;;;;;;20;;;;;;Ambar glass;Golden amber;;;;;;;;9715;0;Светильники НАСТЕННЫЕ ковка
964;MIRADA DE CRISTAL;ИСПАНИЯ;BENIDORM;50120/2/46;Бра Benidorm хрустальное;Бра Benidorm;Светильники НАСТЕННЫЕ;50120/2/46;1;шт;Бра;2;E14;40;Хрустальная бра Benidorm, арматура с гальваническим покрытием, цвет античная бронза. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;70;;;;;25;;;40;;;;Ancient bronze;;;;;Asfour crystal;;;8640;71;Светильники НАСТЕННЫЕ хрусталь
1029;MIRADA DE CRISTAL;ИСПАНИЯ;TENERIFE;54120/2/99;Бра Tenerife хрустальное;Бра Tenerife;Светильники НАСТЕННЫЕ;54120/2/99;1;шт;Бра;2;E14;40;Хрустальная бра Tenerife, арматура с гальваническим покрытием, цвет чёрный никель. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;28;;;;;16;;;36;;;;Black Chrome;;;;;Asfour crystal;;;3571;4;Светильники НАСТЕННЫЕ хрусталь
1038;MIRADA DE CRISTAL;ИСПАНИЯ;ALICANTE;55020/2/01;Бра Alicante хрустальное;Бра Alicante;Светильники НАСТЕННЫЕ;55020/2/01;1;шт;Бра;2;E14;40;Хрустальная двойная бра Alicante, арматура с гальваническим золочением (24К Gold) или хромированием. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;32;;;;;13.май;;;31;;;;Chrome;;;;;Asfour crystal;;;3785;0;Светильники НАСТЕННЫЕ хрусталь
1039;MIRADA DE CRISTAL;ИСПАНИЯ;ALICANTE;55020/2/24;Бра Alicante хрустальное;Бра Alicante;Светильники НАСТЕННЫЕ;55020/2/24;1;шт;Бра;2;E14;40;Хрустальная двойная бра Alicante, арматура с гальваническим золочением (24К Gold) или хромированием. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;32;;;;;13.май;;;31;;;;Gold;;;;;Asfour crystal;;;4343;21;Светильники НАСТЕННЫЕ хрусталь
1076;MIRADA DE CRISTAL;ИСПАНИЯ;FROST;57020/2/01;Бра Frost хрустальное;Бра Frost;Светильники НАСТЕННЫЕ;57020/2/01;1;шт;Бра;2;E14;40;Хрустальная бра Frost, арматура с гальваническим золочением (24К Gold) или хромированием. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;37;;;;;24;;;36;;;;Chrome;;;;;Asfour crystal;;;9133;21;Светильники НАСТЕННЫЕ хрусталь
1077;MIRADA DE CRISTAL;ИСПАНИЯ;FROST;57020/2/24;Бра Frost хрустальное;Бра Frost;Светильники НАСТЕННЫЕ;57020/2/24;1;шт;Бра;2;E14;40;Хрустальная бра Frost, арматура с гальваническим золочением (24К Gold) или хромированием. Хрусталь Asfour crystal.;хрусталь;220;;;;;;;;;;;;37;;;;;24;;;36;;;;Gold;;;;;Asfour crystal;;;9877;2;Светильники НАСТЕННЫЕ хрусталь
1928;L'ARTE LUCE;ИТАЛИЯ;LATO;L30522.80;Бра Lato настенное;Бра Lato;Светильники НАСТЕННЫЕ;L30522.80;1;шт;Бра;2;G9;60;Бра Lato, двухрожковое.;флористика;220;;;;;;;;;35;;;43;;;;;14;;;;;;;;;;;;;;;868;221;Светильники НАСТЕННЫЕ флористика
1934;L'ARTE LUCE;ИТАЛИЯ;FLORA;L33022.81;Бра Flora настенное;Бра Flora;Светильники НАСТЕННЫЕ;L33022.81;1;шт;Бра;2;E14;60;Бра Flora, двухрожковое.;флористика;220;;;;;;;;;38;;;44;;;;;22;;;;;;;;;;;;;;;1224;161;Светильники НАСТЕННЫЕ флористика
16873;LEDS C4;ИСПАНИЯ;ALSACIA;8150709502;Бра Alsacia;Бра Alsacia;Светильники НАСТЕННЫЕ;05-4341-Z6-20;1;шт;Бра;2;E27;23;Бра Alsacia.;модерн;220;;;;;;;;;21,7;;;30;;;;;13,4;;;;;;;Rusty brown;;;;;;;;6006;1;Светильники НАСТЕННЫЕ модерн
