220912;"VIBIA";"ИСПАНИЯ";"Swing";"vibia-0506-01";"Настольная лампа Swing";"Настольная лампа Swing";"СВЕТИЛЬНИКИ НАСТОЛЬНЫЕ";"0506-01";1;"шт.";"Настольная лампа";1;"E27";100;"Настольная лампа Swing, арматура chrome.";"современный";;"IP20";;;;;;;;;;;56;;18;;;;;;23;;;;"chrome";;;;;;;;31584;;"Настольная лампа современный";"vibia-0506-01"
220913;"VIBIA";"ИСПАНИЯ";"Swing";"vibia-0506-30";"Настольная лампа Swing";"Настольная лампа Swing";"СВЕТИЛЬНИКИ НАСТОЛЬНЫЕ";"0506-30";1;"шт.";"Настольная лампа";1;"E27";100;"Настольная лампа Swing, арматура matt nickel.";"современный";;"IP20";;;;;;;;;;;56;;18;;;;;;23;;;;"matt nickel";;;;;;;;33306;;"Настольная лампа современный";"vibia-0506-30"
220914;"VIBIA";"ИСПАНИЯ";"Swing";"vibia-0511-01";"Бра Swing";"Бра Swing";"СВЕТИЛЬНИКИ НАСТЕННЫЕ";"0511-01";1;"шт.";"Бра";1;"E27";100;"Бра Swing, арматура chrome.";"современный";;"IP20";;;;;;;;;;;11,5;;18;;;62;;;;;;;"chrome";;;;;;;;24780;;"Бра современный";"vibia-0511-01"
220915;"VIBIA";"ИСПАНИЯ";"Swing";"vibia-0511-30";"Бра Swing";"Бра Swing";"СВЕТИЛЬНИКИ НАСТЕННЫЕ";"0511-30";1;"шт.";"Бра";1;"E27";100;"Бра Swing, арматура matt nickel.";"современный";;"IP20";;;;;;;;;;;11,5;;18;;;62;;;;;;;"matt nickel";;;;;;;;26250;;"Бра современный";"vibia-0511-30"
220916;"VIBIA";"ИСПАНИЯ";"Swing";"vibia-0512-01";"Бра Swing";"Бра Swing";"СВЕТИЛЬНИКИ НАСТЕННЫЕ";"0512-01";1;"шт.";"Бра";1;"E27";100;"Бра Swing, арматура chrome.";"современный";;"IP20";;;;;;;;15,5;;;;;18;;;62;;;;;;;"chrome";;;;;;;;32550;;"Бра современный";"vibia-0512-01"
220917;"VIBIA";"ИСПАНИЯ";"Swing";"vibia-0512-30";"Бра Swing";"Бра Swing";"СВЕТИЛЬНИКИ НАСТЕННЫЕ";"0512-30";1;"шт.";"Бра";1;"E27";100;"Бра Swing, арматура matt nickel.";"современный";;"IP20";;;;;;;;15,5;;;;;18;;;62;;;;;;;"matt nickel";;;;;;;;35196;;"Бра современный";"vibia-0512-30"
220918;"VIBIA";"ИСПАНИЯ";"Swing";"vibia-0515-01";"Торшер Swing";"Торшер Swing";"СВЕТИЛЬНИКИ НАПОЛЬНЫЕ";"0515-01";1;"шт.";"Торшер";1;"G9";60;"Торшер Swing, арматура chrome.";"современный";;"IP20";;;;;;;72;;;;110;;;;;;;13;;;;;"chrome";;;;;;;;37170;;"Торшер современный";"vibia-0515-01"
220919;"VIBIA";"ИСПАНИЯ";"Swing";"vibia-0515-30";"Торшер Swing";"Торшер Swing";"СВЕТИЛЬНИКИ НАПОЛЬНЫЕ";"0515-30";1;"шт.";"Торшер";1;"G9";60;"Торшер Swing, арматура matt nickel.";"современный";;"IP20";;;;;;;72;;;;110;;;;;;;13;;;;;"matt nickel";;;;;;;;39102;;"Торшер современный";"vibia-0515-30"
220920;"VIBIA";"ИСПАНИЯ";"Swing";"vibia-0520-01";"Настольная лампа Swing";"Настольная лампа Swing";"СВЕТИЛЬНИКИ НАСТОЛЬНЫЕ";"0520-01";1;"шт.";"Настольная лампа";1;"G9";60;"Настольная лампа Swing, арматура chrome.";"современный";;"IP20";;;;;;;72;;;;34;;;;;;;13;;;;;"chrome";;;;;;;;28182;;"Настольная лампа современный";"vibia-0520-01"
220921;"VIBIA";"ИСПАНИЯ";"Swing";"vibia-0520-30";"Настольная лампа Swing";"Настольная лампа Swing";"СВЕТИЛЬНИКИ НАСТОЛЬНЫЕ";"0520-30";1;"шт.";"Настольная лампа";1;"G9";60;"Настольная лампа Swing, арматура matt nickel.";"современный";;"IP20";;;;;;;72;;;;34;;;;;;;13;;;;;"matt nickel";;;;;;;;31122;;"Настольная лампа современный";"vibia-0520-30"
220922;"VIBIA";"ИСПАНИЯ";"Swing";"vibia-0525-01";"Бра Swing";"Бра Swing";"СВЕТИЛЬНИКИ НАСТЕННЫЕ";"0525-01";1;"шт.";"Бра";1;"G9";60;"Бра Swing, арматура chrome.";"современный";;"IP20";;;;;;;;13;;;11,5;;;;;63;;;;;;;"chrome";;;;;;;;19866;;"Бра современный";"vibia-0525-01"
220923;"VIBIA";"ИСПАНИЯ";"Swing";"vibia-0525-30";"Бра Swing";"Бра Swing";"СВЕТИЛЬНИКИ НАСТЕННЫЕ";"0525-30";1;"шт.";"Бра";1;"G9";60;"Бра Swing, арматура matt nickel.";"современный";;"IP20";;;;;;;;13;;;11,5;;;;;63;;;;;;;"matt nickel";;;;;;;;21084;;"Бра современный";"vibia-0525-30"
220924;"VIBIA";"ИСПАНИЯ";"Big";"vibia-0530-01";"Светильник потолочный Big";"Светильник потолочный Big";"СВЕТИЛЬНИКИ ПОТОЛОЧНЫЕ";"0530-01";1;"шт.";"Светильник потолочный";2;"2G11";36;"Светильник потолочный Big, арматура chrome.";"современный";;"IP20";;;;;;;;;;;18;;;;;;;;120;;;;"chrome";;;;;;;;109158;;"Светильник потолочный современный";"vibia-0530-01"
220925;"VIBIA";"ИСПАНИЯ";"Big";"vibia-0531-01";"Светильник потолочный Big";"Светильник потолочный Big";"СВЕТИЛЬНИКИ ПОТОЛОЧНЫЕ";"0531-01";1;"шт.";"Светильник потолочный";2;"2G11";36;"Светильник потолочный Big, арматура chrome.";"современный";;"IP20";;;;;;;;;;;13,5;;;;;;;;100;;;;"chrome";;;;;;;;75558;;"Светильник потолочный современный";"vibia-0531-01"
