Категория;Артикул фабрики;Название фабрики;Страна происхождения;Серия;Наименование;Цена;Остатки;Стиль;Кол_во_ламп_1;Макс_мощность_1;Тип_цоколя_1;Напряжение_1;Кол_во_ламп_2;Макс_мощность_2;Тип_цоколя_2;Напряжение_2;Кол_во_ламп_3;Макс_мощность_3;Тип_цоколя_3;Напряжение_3;Кол_во_лампочек_цоколей_вычисляемое;Общая_мощность_вычисляемая;МАКС_мощность_1_ой_лампочки_собираемая;Тип_цоколя_собираемый;Напряжение_собираемое;Наличие_лампочек_в_комплекте;Степень_пыле_влагозащиты_IP;Класс_защиты_от_эл_тока;Вес_кг;Объем (м3);Длина (см);Ширина (см);Диаметр (см);Выступ (см);Высота (см);МАКС высота (см);МИН высота (см);Глубина врезного отверстия;Размер врезного отверстия;Диаметр абажура (см);Дополнительные функции;Цвет каркаса;Цвет плафона (абажура);Материал каркаса;Материал плафона/абажура;Тип хрусталя;Хрусталь;Кованый;Флористика;Детский;Светодиодный;Точечный;Подсветка предметов;На солнечных батареях;Примечание;Поставщик;Внутренний код;Сортировка
Светильники>>Потолочные;D18-135opN;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D18;Потолочный светильник BERLINER MESSINGLAMPEN D18-135opN;9605;5;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;2,4;0,015;;;30;;17;;;;;;;Серебро;;;;;;;;;;;;;;SvetBerry;d18-135opn;30
Светильники>>Потолочные;D18-135opP;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D18;Потолочный светильник BERLINER MESSINGLAMPEN D18-135opP;8750;6;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;1,8;0,015;;;30;;17;;;;;;;Золото;;;;;;;;;;;;;;SvetBerry;d18-135opp;30
Светильники>>Потолочные;D50-70opA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D50;Потолочный светильник BERLINER MESSINGLAMPEN D50-70opA;6855;2;Классика;1;100;E27; ; ; ; ; ; ; ; ; ;1;100;100 Вт;E27;;;;;1,6;0,015;;;30;;30;;;;;;;Коричневый;;;;;;;;;;;;;;SvetBerry;d50-70opa;30
Светильники>>Потолочные;D50-90opN;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D50;Потолочный светильник BERLINER MESSINGLAMPEN D50-90opN;10612;0;Современный;1;100;E27; ; ; ; ; ; ; ; ; ;1;100;100 Вт;E27;;;;;1,7;0,021;;;35;;30;;;;;;;Серебро;;;;;;;;;;;;;;SvetBerry;d50-90opn;30
Светильники>>Потолочные;D60-121opA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D60;Потолочный светильник BERLINER MESSINGLAMPEN D60-121opA;5530;1;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;1;0,014;;;17;;20;;;;;;;Коричневый;;;;;;;;;;;;;;SvetBerry;d60-121opa;30
Светильники>>Потолочные;D8-126crB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D8;Потолочный светильник BERLINER MESSINGLAMPEN D8-126crB;6565;22;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;0,9;0,014;;;20;;12;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;d8-126crb;30
Светильники>>Потолочные;D8-126opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D8;Потолочный светильник BERLINER MESSINGLAMPEN D8-126opB;5740;36;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;1;0,014;;;20;;12;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;d8-126opb;30
Светильники>>Потолочные;D8-126opN;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D8;Потолочный светильник BERLINER MESSINGLAMPEN D8-126opN;7066;0;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;1,2;0,014;;;20;;12;;;;;;;Серебро;;;;;;;;;;;;;;SvetBerry;d8-126opn;30
Светильники>>Потолочные;D8-126opP;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D8;Потолочный светильник BERLINER MESSINGLAMPEN D8-126opP;5910;13;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;1,1;0,014;;;20;;12;;;;;;;Золото;;;;;;;;;;;;;;SvetBerry;d8-126opp;30
Светильники>>Потолочные;D8-129opA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D8;Потолочный светильник BERLINER MESSINGLAMPEN D8-129opA;6040;9;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;1;0,014;;;20;;14;;;;;;;Коричневый;;;;;;;;;;;;;;SvetBerry;d8-129opa;30
Светильники>>Потолочные;D8-129opC;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D8;Потолочный светильник BERLINER MESSINGLAMPEN D8-129opC;6430;7;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;1;0,014;;;20;;14;;;;;;;Серебро;;;;;;;;;;;;;;SvetBerry;d8-129opc;30
Светильники>>Потолочные;D92-182crA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D92;Потолочный светильник BERLINER MESSINGLAMPEN D92-182crA;20569;0;Современный;3;75;E27; ; ; ; ; ; ; ; ; ;3;225;75 Вт;E27;;;;;5,2;0,056;;;40;;23;;;;;;;Коричневый;;;;;;;;;;;;;;SvetBerry;d92-182cra;30
Светильники>>Потолочные;D92-183opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D92;Потолочный светильник BERLINER MESSINGLAMPEN D92-183opB;14465;10;Современный;3;75;E27; ; ; ; ; ; ; ; ; ;3;225;75 Вт;E27;;;;;5,1;0,056;;;41;;20;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;d92-183opb;30
Светильники>>Потолочные;D92-183opN;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D92;Потолочный светильник BERLINER MESSINGLAMPEN D92-183opN;15295;1;Современный;3;75;E27; ; ; ; ; ; ; ; ; ;3;225;75 Вт;E27;;;;;5,1;0,056;;;41;;20;;;;;;;Серебро;;;;;;;;;;;;;;SvetBerry;d92-183opn;30
Светильники>>Потолочные;PS07-03aeA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;PS07;Потолочный светильник BERLINER MESSINGLAMPEN PS07-03aeA;3670;1;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;0,7;0,014;;;15;;18;;;;;;;Коричневый;;;;;;;;;;;;;;SvetBerry;ps07-03aea;30
Светильники>>Потолочные;PS09-25opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;PS09;Потолочный светильник BERLINER MESSINGLAMPEN PS09-25opB;4130;6;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;1,1;0,014;;;25;;17;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;ps09-25opb;30
Светильники>>Потолочные;PS11-123opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;PS11;Потолочный светильник BERLINER MESSINGLAMPEN PS11-123opB;4610;15;Современный;1;40;E27; ; ; ; ; ; ; ; ; ;1;40;40 Вт;E27;;;;;1;0,014;;;14;;26;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;ps11-123opb;30
Светильники>>Потолочные;PS12-115aeA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;PS12;Потолочный светильник BERLINER MESSINGLAMPEN PS12-115aeA;4230;2;Современный;1;40;E27; ; ; ; ; ; ; ; ; ;1;40;40 Вт;E27;;;;;0,9;0,014;;;15;;22;;;;;;;Коричневый;;;;;;;;;;;;;;SvetBerry;ps12-115aea;30
Светильники>>Потолочные;PS07-22opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;PS07;Потолочный светильник BERLINER MESSINGLAMPEN PS07-22opB;4185;18;Современный;1;60;E27;220; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;220;;;;1,2;0,015;;;22;;14;;;;;;;Berliner Messing;Opal glass;;;;;;;;;;;;;SvetBerry;ps07-22opb;30
Люстры>>Подвесные;D14-113gs+122gsB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D14;Подвесная люстра BERLINER MESSINGLAMPEN D14-113gs+122gsB;36825;4;Классика;1;60;E27; ;3;40;E27; ; ; ; ; ;4;180;3x40Вт, 1x60Вт;E27;;;;;8,6;0,112;;;60;;101;;;;;;;;;;;;;;;;;;;;;SvetBerry;d14-113gs+122gsb;30
Люстры>>Подвесные;D15-123opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D15;Подвесная люстра BERLINER MESSINGLAMPEN D15-123opB;27000;0;Классика;3;40;E27; ; ; ; ; ; ; ; ; ;3;120;40 Вт;E27;;;;;5,4;0,056;;;54;;92;;;;;;;;;;;;;;;;;;;;;SvetBerry;d15-123opb;30
Люстры>>Подвесные;D16-25opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D16;Подвесная люстра BERLINER MESSINGLAMPEN D16-25opB;22910;3;Классика;3;60;E27; ; ; ; ; ; ; ; ; ;3;180;60 Вт;E27;;;;;5,5;0,056;;;64;;87;;;;;;;;;;;;;;;;;;;;;SvetBerry;d16-25opb;30
Люстры>>Подвесные;D215-123ebB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D215;Подвесная люстра BERLINER MESSINGLAMPEN D215-123ebB;53223;0;Классика;5;40;E27; ; ; ; ; ; ; ; ; ;5;200;40 Вт;E27;;;;;6,8;0,112;;;54;;92;;;;;;;;;;;;;;;;;;;;;SvetBerry;d215-123ebb;30
Люстры>>Подвесные;D215-123opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D215;Подвесная люстра BERLINER MESSINGLAMPEN D215-123opB;45565;2;Классика;5;40;E27; ; ; ; ; ; ; ; ; ;5;200;40 Вт;E27;;;;;6,8;0,112;;;54;;92;;;;;;;;;;;;;;;;;;;;;SvetBerry;d215-123opb;30
Люстры>>Подвесные;D231-123cr+125crB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D231;Подвесная люстра BERLINER MESSINGLAMPEN D231-123cr+125crB;126320;0;Классика;11;40;E27; ; ; ; ; ; ; ; ; ;11;440;40 Вт;E27;;;;;19,6;0,201;;;77;;84;;;;;;;;;;;;;;;;;;;;;SvetBerry;d231-123cr+125crb;30
Люстры>>Подвесные;D234-113gs+122gsB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D234;Подвесная люстра BERLINER MESSINGLAMPEN D234-113gs+122gsB;172880;2;Классика;19;40;E27; ; ; ; ; ; ; ; ; ;19;760;40 Вт;E27;;;;;44,6;0,517;;;86;;120;;;;;;;;;;;;;;;;;;;;;SvetBerry;d234-113gs+122gsb;30
Люстры>>Подвесные;D258-40opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D258;Подвесная люстра BERLINER MESSINGLAMPEN D258-40opB;29025;3;Современный;5;60;E27; ; ; ; ; ; ; ; ; ;5;300;60 Вт;E27;;;;;5,3;0,112;;;72;;45;;;;;;;;;;;;;;;;;;;;;SvetBerry;d258-40opb;30
Люстры>>Подвесные;D26-41opA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D26;Подвесная люстра BERLINER MESSINGLAMPEN D26-41opA;27315;2;Классика;3;60;E27; ; ; ; ; ; ; ; ; ;3;180;60 Вт;E27;;;;;5,7;0,056;;;62;;85;;;;;;;;;;;;;;;;;;;;Длина штанги 50 см;SvetBerry;d26-41opa;30
Люстры>>Подвесные;D27-114gsA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D27;Подвесная люстра BERLINER MESSINGLAMPEN D27-114gsA;29200;1;Классика;3;40;E27; ; ; ; ; ; ; ; ; ;3;120;40 Вт;E27;;;;;6,1;0,056;;;55;;96;;;;;;;;;;;;;;;;;;;;;SvetBerry;d27-114gsa;30
Люстры>>Подвесные;D27-123opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D27;Подвесная люстра BERLINER MESSINGLAMPEN D27-123opB;30779;0;Классика;3;40;E27; ; ; ; ; ; ; ; ; ;3;120;40 Вт;E27;;;;;5,5;0,056;;;55;;96;;;;;;;;;;;;;;;;;;;;;SvetBerry;d27-123opb;30
Люстры>>Подвесные;D288-123opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D288;Подвесная люстра BERLINER MESSINGLAMPEN D288-123opB;132665;4;Современный;9;40;E27; ; ; ; ; ; ; ; ; ;9;360;40 Вт;E27;;;;;18,3;0,584;;;82;;137;;;;;;;;;;;;;;;;;;;;;SvetBerry;d288-123opb;30
Люстры>>Подвесные;D45-25opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D45;Подвесная люстра BERLINER MESSINGLAMPEN D45-25opB;46735;2;Классика;3;60;E27; ; ; ; ; ; ; ; ; ;3;180;60 Вт;E27;;;;;5,5;0,604;;;88;;128;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;d45-25opb;30
Люстры>>Подвесные;D53-22opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D53;Подвесная люстра BERLINER MESSINGLAMPEN D53-22opB;24405;3;Классика;3;60;E27; ; ; ; ; ; ; ; ; ;3;180;60 Вт;E27;;;;;5,4;0,114;;;78;;80;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;d53-22opb;30
Люстры>>Подвесные;D58-40opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D58;Подвесная люстра BERLINER MESSINGLAMPEN D58-40opB;18755;0;Классика;3;60;E27; ; ; ; ; ; ; ; ; ;3;180;60 Вт;E27;;;;;3,3;0,056;;;68;;38;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;d58-40opb;30
Люстры>>Подвесные;D59-123opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D59;Подвесная люстра BERLINER MESSINGLAMPEN D59-123opB;25600;1;Классика;3;40;E27; ; ; ; ; ; ; ; ; ;3;120;40 Вт;E27;;;;;4,9;0,112;;;44;;131;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;d59-123opb;30
Люстры>>Подвесные;D70-123opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D70;Подвесная люстра BERLINER MESSINGLAMPEN D70-123opB;32340;6;Современный;3;40;E27; ; ; ; ; ; ; ; ; ;3;120;40 Вт;E27;;;;;4,8;0,076;;;60;;121;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;d70-123opb;30
Люстры>>Подвесные;D71-22opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D71;Подвесная люстра BERLINER MESSINGLAMPEN D71-22opB;36075;1;Современный;3;40;E27; ; ; ; ; ; ; ; ; ;3;120;40 Вт;E27;;;;;5,7;0,112;;;66;;104;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;d71-22opb;30
Люстры>>Подвесные;D86-22opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D86;Подвесная люстра BERLINER MESSINGLAMPEN D86-22opB;63706;0;Классика;5;60;E27; ; ; ; ; ; ; ; ; ;5;300;60 Вт;E27;;;;;7,9;0,668;;;92;;129;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;d86-22opb;30
Люстры>>Подвесные;D89-22opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D89;Подвесная люстра BERLINER MESSINGLAMPEN D89-22opB;36180;3;Классика;5;60;E27; ; ; ; ; ; ; ; ; ;5;300;60 Вт;E27;;;;;8,1;0,15;;;78;;80;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;d89-22opb;30
Люстры>>Подвесные;D12-15ae+P4B;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D12;Подвесная люстра BERLINER MESSINGLAMPEN D12-15ae+P4B;30960;2;Классика;3;60;E27;220; ; ; ; ; ; ; ; ;3;180;60 Вт;E27;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SvetBerry;d12-15ae+p4b;30
Люстры>>Подвесные;D26-41opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D26;Подвесная люстра BERLINER MESSINGLAMPEN D26-41opB;27315;2;Классика;3;60;E27; ; ; ; ; ; ; ; ; ;3;180;60 Вт;E27;;;;;;;;62;;;85;;;;;;;;;;;;;;;;;;;;Длина штанги 50 см;SvetBerry;d26-41opb;30
Люстры>>Подвесные;D35-22opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D35;Подвесная люстра BERLINER MESSINGLAMPEN D35-22opB;39720;0;Классика;5;60;E27;220; ; ; ; ; ; ; ; ;5;300;60 Вт;E27;220;;;;;;;;;;;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;d35-22opb;30
Люстры>>Подвесные;D88-123opB-6flg;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D88;Подвесная люстра BERLINER MESSINGLAMPEN D88-123opB-6flg;110540;3;Современный;6;40;E27; ; ; ; ; ; ; ; ; ;6;240;40 Вт;E27;;;;;10;;;78;;;137;;;;;;;Бронза;;;;;;;;;;;;;Длина штанги 50 см;SvetBerry;d88-123opb-6flg;30
Люстры>>Подвесные;D88-123opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D88;Подвесная люстра BERLINER MESSINGLAMPEN D88-123opB;109577;0;Современный;5;40;E27;220; ; ; ; ; ; ; ; ;5;200;40 Вт;E27;220;;;;;;;;80;;110;;;;;;;Berliner Messing;Opal glass;;;;;;;;;;;;;SvetBerry;d88-123opb;30
Люстры>>Подвесные;D227-123opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;D227;Подвесная люстра BERLINER MESSINGLAMPEN D227-123opB;46530;2;Современный;5;40;E27;220; ; ; ; ; ; ; ; ;5;200;40 Вт;E27;220;;;;8,3;0,112;;;55;;96;;;;;;;Berliner Messing;Opal glass;;;;;;;;;;;;;SvetBerry;d227-123opb;30
Настольные лампы ;C2-25opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;C2;Настольная лампа BERLINER MESSINGLAMPEN C2-25opB;14179;0;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;4,8;0,025;;;;;64;;;;;;;;;;;;;;;;;;;;;SvetBerry;c2-25opb;30
Настольные лампы ;G1-17grB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;G1;Настольная лампа BERLINER MESSINGLAMPEN G1-17grB;12460;0;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;3,2;0,025;;;;;63;;;;;;;;;;;;;;;;;;;;;SvetBerry;g1-17grb;30
Настольные лампы ;T4G6-29opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;T4G6;Настольная лампа BERLINER MESSINGLAMPEN T4G6-29opB;12970;3;Классика;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;3,5;0,025;;;;;59;;;;;;;;;;;;;;;;;;;;;SvetBerry;t4g6-29opb;30
Настольные лампы ;V16-98opN;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;V16;Настольная лампа BERLINER MESSINGLAMPEN V16-98opN;21365;5;Классика;2;60;E27; ; ; ; ; ; ; ; ; ;2;120;60 Вт;E27;;;;;4,2;0,076;;;;;55;;;;;;;;;;;;;;;;;;;;;SvetBerry;v16-98opn;30
Настольные лампы ;V2-25opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;V2;Настольная лампа BERLINER MESSINGLAMPEN V2-25opB;7995;1;Классика;1;60;E14; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E14;;;;;1,9;0,025;;;;;39;;;;;;;;;;;;;;;;;;;;;SvetBerry;v2-25opb;30
Настольные лампы ;V20-16opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;V20;Настольная лампа BERLINER MESSINGLAMPEN V20-16opB;6335;3;Классика;1;60;E14; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E14;;;;;1,5;0,014;;;;;27;;;;;;;;;;;;;;;;;;;;;SvetBerry;v20-16opb;30
Настольные лампы ;V23-48opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;V23;Настольная лампа BERLINER MESSINGLAMPEN V23-48opB;8355;0;Классика;1;60;E14; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E14;;;;;1,9;0,025;;;;;38;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;v23-48opb;30
Настольные лампы ;Z1-100ebA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;Z1;Настольная лампа BERLINER MESSINGLAMPEN Z1-100ebA;9800;1;Классика;1;75;E27; ; ; ; ; ; ; ; ; ;1;75;75 Вт;E27;;;;;2,5;0,025;;;;;43;;;;;;;Коричневый;;;;;;;;;;;;;;SvetBerry;z1-100eba;30
Настольные лампы ;Z1-100opN;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;Z1;Настольная лампа BERLINER MESSINGLAMPEN Z1-100opN;11615;2;Классика;1;75;E27; ; ; ; ; ; ; ; ; ;1;75;75 Вт;E27;;;;;3,6;0,025;;;;;43;;;;;;;Серебро;;;;;;;;;;;;;;SvetBerry;z1-100opn;30
Настольные лампы ;Z1-100opP;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;Z1;Настольная лампа BERLINER MESSINGLAMPEN Z1-100opP;10095;5;Классика;1;75;E27; ; ; ; ; ; ; ; ; ;1;75;75 Вт;E27;;;;;2,5;0,025;;;;;43;;;;;;;Золото;;;;;;;;;;;;;;SvetBerry;z1-100opp;30
Настольные лампы ;Z14-100opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;Z14;Настольная лампа BERLINER MESSINGLAMPEN Z14-100opB;11035;0;Классика;1;75;E27; ; ; ; ; ; ; ; ; ;1;75;75 Вт;E27;;;;;2,8;0,025;;;;;39;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;z14-100opb;30
Настольные лампы ;Z17-125crB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;Z17;Настольная лампа BERLINER MESSINGLAMPEN Z17-125crB;19076;0;Классика;1;75;E27; ; ; ; ; ; ; ; ; ;1;75;75 Вт;E27;;;;;5;0,056;;;;;48;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;z17-125crb;30
Настольные лампы ;Z5-134opA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;Z5;Настольная лампа BERLINER MESSINGLAMPEN Z5-134opA;8552;0;Классика;1;75;E27; ; ; ; ; ; ; ; ; ;1;75;75 Вт;E27;;;;;2,3;0,025;;;;;38;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;z5-134opa;30
Настольные лампы ;Z5-134opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;Z5;Настольная лампа BERLINER MESSINGLAMPEN Z5-134opB;8552;0;Классика;1;75;E27; ; ; ; ; ; ; ; ; ;1;75;75 Вт;E27;;;;;2,3;0,025;;;;;38;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;z5-134opb;30
Настольные лампы ;Z9-135opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;Z9;Настольная лампа BERLINER MESSINGLAMPEN Z9-135opB;16985;3;Классика;1;75;E27; ; ; ; ; ; ; ; ; ;1;75;75 Вт;E27;;;;;3,2;0,025;;;;;45;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;z9-135opb;30
Настольные лампы ;V16-98grB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;V16;Настольная лампа BERLINER MESSINGLAMPEN V16-98grB;21105;12;Классика;2;60;E27;220; ; ; ; ; ; ; ; ;2;120;60 Вт;E27;220;;;;4,1;0,076;;;;;55;;;;;;;Berliner Messing;;;;;;;;;;;;;;SvetBerry;v16-98grb;30
Настольные лампы ;W7-99grB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;W7;Настольная лампа BERLINER MESSINGLAMPEN W7-99grB;14055;24;Современный;1;60;E27;220; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;220;;;;4,3;0,064;;;;;50;;;;;;;Berliner Messing;;;;;;;;;;;;;;SvetBerry;w7-99grb;30
Настольные лампы ;Z1-100grB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;Z1;Настольная лампа BERLINER MESSINGLAMPEN Z1-100grB;11875;16;Классика;1;75;E27;220; ; ; ; ; ; ; ; ;1;75;75 Вт;E27;220;;;;2,6;0,027;;;;;39;;;;;;;Berliner Messing;;;;;;;;;;;;;;SvetBerry;z1-100grb;30
Подсветки для картин ;A94B;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;A94B;Подсветка картин и зеркал BERLINER MESSINGLAMPEN A94B;7705;17;Современный;1;60;E14;220; ; ; ; ; ; ; ; ;1;60;60 Вт;E14;220;;;;;;;34;;20;;;;;;;;Berliner Messing;;;;;;;;;;;;;;SvetBerry;a94b;30
Подсветки для картин ;A99P;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;A99P;Подсветка картин и зеркал BERLINER MESSINGLAMPEN A99P;10915;7;Современный;1;60;E14;220; ; ; ; ; ; ; ; ;1;60;60 Вт;E14;220;;;;;;;34;;20;;;;;;;;Poliert;;;;;;;;;;;;;;SvetBerry;a99p;30
Торшеры напольные ;T5ST02-38opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;T5ST02;Торшер BERLINER MESSINGLAMPEN T5ST02-38opB;22724;0;Современный;1;60;E27;220; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;220;;;;;;;;;;160;;;;;;;Berliner Messing;Opal glass;;;;;;;;;;;;;SvetBerry;t5st02-38opb;30
Торшеры напольные ;T3ST02-70opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;T3ST02;Торшер BERLINER MESSINGLAMPEN T3ST02-70opB;27230;1;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;17,9;0,18;;;;;160;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;t3st02-70opb;30
Торшеры напольные ;T3T4ST02-70opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;T3T4ST02;Торшер BERLINER MESSINGLAMPEN T3T4ST02-70opB;35710;2;Современный;1;60;E27; ;1;100;E27; ; ; ; ; ;2;160;1x60Вт, 1x100Вт;E27;;;;;19;0,18;;;;;200;;;;;;;Бронза;;;;;;;;;;;;;;SvetBerry;t3t4st02-70opb;30
Торшеры напольные ;T3T4ST02-70opN;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;T3T4ST02;Торшер BERLINER MESSINGLAMPEN T3T4ST02-70opN;40870;1;Современный;1;60;E27; ;1;100;E27; ; ; ; ; ;2;160;1x60Вт, 1x100Вт;E27;;;;;;0,18;;;;;200;;;;;;;Серебро;;;;;;;;;;;;;;SvetBerry;t3t4st02-70opn;30
Торшеры напольные ;T5ST02-38opA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;T5ST02;Торшер BERLINER MESSINGLAMPEN T5ST02-38opA;28105;1;Современный;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;16,8;0,18;;;;;160;;;;;;;Коричневый;;;;;;;;;;;;;;SvetBerry;t5st02-38opa;30
