Категория;Артикул фабрики;Название фабрики;Страна происхождения;Серия;Наименование;Цена;Остатки;Стиль;Кол-во ламп_1;Макс.мощность_1;Тип цоколя_1;Напряжение_1;Кол-во ламп_2;Макс.мощность_2;Тип цоколя_2;Напряжение_2;Кол-во ламп_3;Макс.мощность_3;Тип цоколя_3;Напряжение_3;Количество лампочек (цоколей)_вычисляемое;Общая мощность_вычисляемая;Максимальная мощность 1-ой лампочки_собираемая;Тип цоколя_собираемый;Напряжение_собираемое;Наличие лампочек в комплекте;Степень пыле-влагозащиты (IP);Класс защиты от эл. тока;Вес брутто(кг);Объем (м3);Длина (см);Ширина (см);Диаметр (см);Выступ (см);Высота (см);МАКС высота (см);МИН высота (см);Глубина врезного отверстия;Размер врезного отверстия;Диаметр абажура (см);Дополнительные функции;Цвет каркаса;Цвет плафона/абажура;Материал каркаса;Материал плафона/абажура;Тип хрусталя;Хрусталь;Кованый;Флористика;Детский;Светодиодный;Точечный;Подсветка предметов;На солнечных батареях;Примечание;Поставщик;Внутренний код;Сортировка
Светильники>>Настенные;86222;Eglo;Австрия;Elo 1;Настенный светильник Eglo Elo 1 86222;892;5;Классика;1;50;GU10;230;;;;;;;;;1;50;50 Вт;GU10;230;да;IP20;I;;;11,5;5;;;;;;;;;;никель;;металл;металл;;;;;;;;да;;;Eglo;;310
Светильники>>Настенно-потолочные;86237;Eglo;Австрия;Auriga;Настенно-потолочный светильник Eglo Auriga 86237;2455;87;Современный;1;60;R7s;230;;;;;;;;;1;60;60 Вт;R7s;230;да;IP20;I;;;21;21;;;6,5;;;;;;;никель;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86238;Eglo;Австрия;Auriga;Настенно-потолочный светильник Eglo Auriga 86238;3244;24;Современный;1;100;R7s;230;;;;;;;;;1;100;100 Вт;R7s;230;да;IP20;I;;;30;30;;;6,5;;;;;;;никель;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;86239;Eglo;Австрия;Auriga;Настенно-потолочный светильник Eglo Auriga 86239;3934;6;Современный;1;100;R7s;230;;;;;;;;;1;100;100 Вт;R7s;230;да;IP20;I;;;38,5;38,5;;;6,5;;;;;;;никель;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;86242;Eglo;Австрия;Arizona;Настенный светильник Eglo Arizona 86242;966;0;Современный;1;40;G9;230;;;;;;;;;1;40;40 Вт;G9;230;да;IP20;I;;;;;6;;;;;;;;;никель, хром;белый;металл;стекло;;;;;;;;да;;;Eglo;;310
Светильники>>Для кухни;86355;Eglo;Австрия;Extend 1;Светильник для кухни Eglo Extend 1 86355;1620;363;Современный;3;20;G4;12;;;;;;;;;3;60;20 Вт;G4;12;да;IP20;II;;;60;7;;;2,5;;;;;;;белый;неокрашенный;металл;стекло;;;;;;;да;;;;Eglo;;310
Светильники>>Для кухни;86356;Eglo;Австрия;Extend 1;Светильник для кухни Eglo Extend 1 86356;1620;64;Современный;3;20;G4;12;;;;;;;;;3;60;20 Вт;G4;12;да;IP20;II;;;60;7;;;2,5;;;;;;;серебряный;серебристый;металл;;;;;;;;;;;;Eglo;;310
Светильники>>Для кухни;86357;Eglo;Австрия;Extend 1;Светильник для кухни Eglo Extend 1 86357;2030;35;Современный;3;20;G4;12;;;;;;;;;3;60;20 Вт;G4;12;да;IP20;II;;;60;7;;;2,5;;;;;;;хром;;металл;;;;;;;;;;;;Eglo;;310
Уличные светильники>>Настенные;86387;Eglo;Австрия;Calgary;Уличный настенный светильник Eglo Calgary 86387;2336;24;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP44;I;;;;10;;12;27;;;;;;;хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Уличные фонари;86388;Eglo;Австрия;Calgary;Уличный наземный светильник Eglo Calgary 86388;2744;26;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP44;I;;;;10;;;43,5;;;;;;;хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
