Категория;Артикул фабрики;Название фабрики;Страна происхождения;Серия;Наименование;Цена;Остатки;Стиль;Кол-во ламп_1;Макс.мощность_1;Тип цоколя_1;Напряжение_1;Кол-во ламп_2;Макс.мощность_2;Тип цоколя_2;Напряжение_2;Кол-во ламп_3;Макс.мощность_3;Тип цоколя_3;Напряжение_3;Количество лампочек (цоколей)_вычисляемое;Общая мощность_вычисляемая;Максимальная мощность 1-ой лампочки_собираемая;Тип цоколя_собираемый;Напряжение_собираемое;Наличие лампочек в комплекте;Степень пыле-влагозащиты (IP);Класс защиты от эл. тока;Вес брутто(кг);Объем (м3);Длина (см);Ширина (см);Диаметр (см);Выступ (см);Высота (см);МАКС высота (см);МИН высота (см);Глубина врезного отверстия;Размер врезного отверстия;Диаметр абажура (см);Дополнительные функции;Цвет каркаса;Цвет плафона/абажура;Материал каркаса;Материал плафона/абажура;Тип хрусталя;Хрусталь;Кованый;Флористика;Детский;Светодиодный;Точечный;Подсветка предметов;На солнечных батареях;Примечание;Поставщик;Внутренний код;Сортировка
Уличные светильники>>Настенные;3376;Eglo;Австрия;Laterna 7;Уличный настенный светильник Eglo Laterna 7 3376;910;46;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP33;I;;;15,5;;;17;22;;;;;;;черный;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Уличные светильники>>Настенные;3377;Eglo;Австрия;Laterna 7;Уличный настенный светильник Eglo Laterna 7 3377;910;5;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP33;I;;;15,5;;;17;22;;;;;;;белый;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Уличные светильники>>Настенно-потолочные;5389;Eglo;Австрия;Laterna 7;Уличный настенно-потолочный светильник Eglo Laterna 7 5389;1316;12;Классика;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP54;I;;;;;23;14;;;;;;;;черный;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Настольные лампы;7060;Eglo;Австрия;Top Desk;Настольная лампа Eglo Top Desk 7060;910;83;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;II;;;;;;;47;;;;;;выключатель на проводе;серебряный;серебряный;металл;металл;;;;;;;;;;;Eglo;;310
Светильники>>Потолочные;7422;Eglo;Австрия;Uppsala;Потолочный светильник Eglo Uppsala 7422;1826;28;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;II;;;;;38;;110;;;;;;регулировка по высоте;черный;желтый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Потолочные;7426;Eglo;Австрия;Uppsala;Потолочный светильник Eglo Uppsala 7426;806;1;Современный;1;60;E14;230;;;;;;;;;1;60;60 Вт;E14;230;;IP20;II;;;;;17,5;;110;;;;;;регулировка по высоте;черный;оранжевый;металл;стекло;;;;;;;;;;;Eglo;;310
Люстры>>Потолочные;8590;Eglo;Австрия;Diana;Потолочная люстра Eglo Diana 8590;4895;0;Классика;3;40;E14;230;;;;;;;;;3;120;40 Вт;E14;230;;IP20;I;;;;;43;;18;;;;;;;желтый;белый, прозрачный;металл;стекло;;;;да;;;;;;;Eglo;;310
Настольные лампы;9229;Eglo;Австрия;Basic;Настольная лампа Eglo Basic 9229;765;0;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;II;;;;;;;30;;;;;;выключатель на корпусе;белый;белый;металл;металл;;;;;;;;;;;Eglo;;310
Настольные лампы;23872;Eglo;Австрия;Tina;Настольная лампа Eglo Tina 23872;996;0;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;II;;;;;21,5;;27,8;;;;;;выключатель на проводе;синий;синий;керамика;текстиль;;;;;;;;;;;Eglo;;310
Настольные лампы;23873;Eglo;Австрия;Tina;Настольная лампа Eglo Tina 23873;704;0;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;II;;;;;21,5;;27,8;;;;;;выключатель на проводе;белый;белый;керамика;текстиль;;;;;;;;;;;Eglo;;310
Настольные лампы;23874;Eglo;Австрия;Tina;Настольная лампа Eglo Tina 23874;704;0;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;II;;;;;21,5;;27,8;;;;;;выключатель на проводе;белый;белый;керамика;текстиль;;;;;;;;;;;Eglo;;310
Настольные лампы;23876;Eglo;Австрия;Tina;Настольная лампа Eglo Tina 23876;1003;0;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;II;;;;;21,5;;27,8;;;;;;выключатель на проводе;красный;красный;керамика;текстиль;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;24724;Eglo;Австрия;Magnum;Настенный светильник Eglo Magnum 24724;745;0;Современный;1;50;GU10;230;;;;;;;;;1;50;50 Вт;GU10;230;да;IP20;I;;;;;7;;;;;;;;;никель, хром;;металл;металл;;;;;;;да;да;;;Eglo;;310
Светильники>>Настенно-потолочные;24725;Eglo;Австрия;Magnum;Настенно-потолочный светильник Eglo Magnum 24725;1188;9;Современный;2;50;GU10;230;;;;;;;;;2;100;50 Вт;GU10;230;да;IP20;I;;;37;;;;;;;;;;;никель, хром;;металл;металл;;;;;;;да;да;;;Eglo;;310
Светильники>>Настенно-потолочные;24728;Eglo;Австрия;Magnum;Настенно-потолочный светильник Eglo Magnum 24728;2089;19;Современный;4;50;GU10;230;;;;;;;;;4;200;50 Вт;GU10;230;да;IP20;I;;;65;;;;;;;;;;;никель, хром;;металл;металл;;;;;;;да;да;;;Eglo;;310
Светильники>>Настенно-потолочные;80228;Eglo;Австрия;Wave;Настенно-потолочный светильник Eglo Wave 80228;3562;94;Современный;4;50;GU10;230;;;;;;;;;4;200;50 Вт;GU10;230;да;IP20;I;;;117;;;;;;;;;;;никель, хром;;металл;металл;;;;;;;да;да;;;Eglo;;310
Светильники>>Настенно-потолочные;80280;Eglo;Австрия;Bari;Настенно-потолочный светильник Eglo Bari 80280;2030;14;Современный;2;60;E14;230;;;;;;;;;2;120;60 Вт;E14;230;;IP20;I;;;48;8;;;;;;;;;;хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;80282;Eglo;Австрия;Bari;Настенно-потолочный светильник Eglo Bari 80282;1442;0;Современный;1;60;E14;230;;;;;;;;;1;60;60 Вт;E14;230;да;IP20;I;;;26;8;;;;;;;;;;хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;80407;Eglo;Австрия;Wave;Настенно-потолочный светильник Eglo Wave 80407;5515;68;Современный;6;50;GU10;230;;;;;;;;;6;300;50 Вт;GU10;230;да;IP20;I;;;140;140;;;;;;;;;;никель, хром;;металл;металл;;;;;;;да;да;;;Eglo;;310
Светильники>>Настенно-потолочные;80445;Eglo;Австрия;Wave;Настенно-потолочный светильник Eglo Wave 80445;2752;132;Современный;3;50;GU10;230;;;;;;;;;3;150;50 Вт;GU10;230;да;IP20;I;;;;;43;;;;;;;;;никель, хром;;металл;металл;;;;;;;да;да;;;Eglo;;310
Светильники>>Настенно-потолочные;81038;Eglo;Австрия;Manhatten;Настенно-потолочный светильник Eglo Manhatten 81038;1969;1;Современный;3;60;E27;230;;;;;;;;;3;180;60 Вт;E27;230;;IP20;I;;;;;22;;;;;;;;;никель;;металл;металл;;;;;;;да;да;;;Eglo;;310
Светильники>>Настенные;81061;Eglo;Австрия;Manhatten;Настенный светильник Eglo Manhatten 81061;1012;0;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;II;;;;;;16;;;;;;;;белый;белый;металл;металл;;;;;;;да;да;;;Eglo;;310
Светильники>>Настенные;81311;Eglo;Австрия;Wave;Настенный светильник Eglo Wave 81311;806;349;Современный;1;50;GU10;230;;;;;;;;;1;50;50 Вт;GU10;230;да;IP20;I;;;18;9;;;;;;;;;;никель, хром;;металл;металл;;;;;;;да;да;;;Eglo;;310
Настольные лампы;81527;Eglo;Австрия;Fabio;Настольная лампа Eglo Fabio 81527;2791;0;Современный;1;11;G23;230;;;;;;;;;1;11;11 Вт;G23;230;;IP20;II;;;;28;;;40;;;;;;;синий;синий;пластмасса;пластмасса;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;81634;Eglo;Австрия;Milla;Настенно-потолочный светильник Eglo Milla 81634;874;0;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;33,5;33,5;;;;;;;;;;алюминий;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;81635;Eglo;Австрия;Ella;Настенно-потолочный светильник Eglo Ella 81635;1010;54;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;I;;;;;20;9,2;;;;;;;;серый;молочный;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;81636;Eglo;Австрия;Ella;Настенно-потолочный светильник Eglo Ella 81636;1520;10;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;I;;;;;28;11,7;;;;;;;;серый;молочный;металл;стекло;;;;;;;;;;;Eglo;;310
Уличные фонари;81751;Eglo;Австрия;Helsinki;Уличный наземный светильник Eglo Helsinki 81751;1010;5;Современный;1;15;E27;230;;;;;;;;;1;15;15 Вт;E27;230;;IP44;I;;;;;7,5;;43;;;;;;;хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Уличные фонари;81752;Eglo;Австрия;Helsinki;Уличный наземный светильник Eglo Helsinki 81752;1928;0;Современный;1;15;E27;230;;;;;;;;;1;15;15 Вт;E27;230;;IP44;I;;;;;7,5;;110;;;;;;;хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Уличные светильники>>Настенные;81753;Eglo;Австрия;Helsinki;Уличный настенный светильник Eglo Helsinki 81753;602;3;Современный;1;15;E27;230;;;;;;;;;1;15;15 Вт;E27;230;;IP44;I;;;;;7,5;16,5;39;;;;;;;хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Уличные светильники>>Настенные;81824;Eglo;Австрия;Malmo;Уличный настенный светильник Eglo Malmo 81824;3157;0;Современный;1;15;E27;230;;;;;;;;;1;15;15 Вт;E27;230;;IP44;I;;;;;17,5;18,5;30,5;;;;;;;хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Уличные фонари;81825;Eglo;Австрия;Malmo;Уличный наземный светильник Eglo Malmo 81825;2791;0;Современный;1;15;E27;230;;;;;;;;;1;15;15 Вт;E27;230;;IP44;I;;;;;17,5;;45;;;;;;;хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Уличные фонари;81826;Eglo;Австрия;Malmo;Уличный наземный светильник Eglo Malmo 81826;3796;0;Современный;1;15;E27;230;;;;;;;;;1;15;15 Вт;E27;230;;IP44;I;;;;;17,5;;100;;;;;;;хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Настольные лампы;81827;Eglo;Австрия;Geo;Настольная лампа Eglo Geo 81827;1236;0;Современный;1;60;E14;230;;;;;;;;;1;60;60 Вт;E14;230;;IP20;II;;;;;10;;20;;;;;;выключатель на проводе;белый;молочный;металл;стекло;;;;;;;;;;;Eglo;;310
Настольные лампы;81828;Eglo;Австрия;Geo;Настольная лампа Eglo Geo 81828;1720;0;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;II;;;;;12;;35;;;;;;выключатель на проводе;белый;молочный;металл;стекло;;;;;;;;;;;Eglo;;310
Настольные лампы;81829;Eglo;Австрия;Geo;Настольная лампа Eglo Geo 81829;1877;1;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;II;;;;;12;;45;;;;;;выключатель на проводе;белый;молочный;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;82218;Eglo;Австрия;Eos;Настенно-потолочный светильник Eglo Eos 82218;5513;12;Современный;4;40;E14;230;;;;;;;;;4;160;40 Вт;E14;230;;IP20;I;;;38;38;;6,5;;;;;;;;никель, хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;82219;Eglo;Австрия;Eos;Настенно-потолочный светильник Eglo Eos 82219;3562;2;Современный;2;40;E14;230;;;;;;;;;2;80;40 Вт;E14;230;;IP20;I;;;30;30;;6,5;;;;;;;;никель, хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;82221;Eglo;Австрия;Eos;Настенный светильник Eglo Eos 82221;2351;0;Современный;1;60;E14;230;;;;;;;;;1;60;60 Вт;E14;230;;IP20;I;;;30;14,5;;6,5;;;;;;;;никель, хром;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;82244;Eglo;Австрия;Fizz;Настенно-потолочный светильник Eglo Fizz 82244;2090;16;Современный;3;50;GU10;230;;;;;;;;;3;150;50 Вт;GU10;230;да;IP20;I;;;46;7;;;;;;;;;;никель, хром;;металл;металл;;;;;;;да;да;;;Eglo;;310
Настольные лампы;82305;Eglo;Австрия;Slim;Настольная лампа Eglo Slim 82305;1010;244;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;II;;;;;10;;22;;;;;;выключатель на проводе;никель;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Настольные лампы;82306;Eglo;Австрия;Slim;Настольная лампа Eglo Slim 82306;1010;207;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;II;;;;;10;;22;;;;;;выключатель на проводе;желтый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;82411;Eglo;Австрия;Lydia;Настенный светильник Eglo Lydia 82411;398;33;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;I;;;;;8;;;;;;;;;серебряный;серебряный;;;;;;;;;да;да;;;Eglo;;310
Настольные лампы;82462;Eglo;Австрия;Leo;Настольная лампа Eglo Leo 82462;1873;0;Современный;1;50;GU10;230;;;;;;;;;1;50;50 Вт;GU10;230;да;IP20;II;;;;;12;;37;;;;;;выключатель на проводе;никель, хром;;металл;металл;;;;;;;;;;;Eglo;;310
Настольные лампы;82529;Eglo;Австрия;Stilo;Настольная лампа Eglo Stilo 82529;1157;2;Современный;1;50;GU10;230;;;;;;;;;1;50;50 Вт;GU10;230;да;IP20;II;;;;16;;;36,5;;;;;;выключатель на проводе;серебряный, хром;;металл;металл;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;82691;Eglo;Австрия;Sirio;Настенно-потолочный светильник Eglo Sirio 82691;2598;0;Современный;2;60;E27;230;;;;;;;;;2;120;60 Вт;E27;230;;IP20;I;;;;;33,5;8;;;;;;;;никель;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;82741;Eglo;Австрия;Imperial;Настенно-потолочный светильник Eglo Imperial 82741;2642;0;Классика;2;60;E27;230;;;;;;;;;2;120;60 Вт;E27;230;;IP20;I;;;;;31;;14;;;;;;;коричневый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Люстры>>Подвесные;82742;Eglo;Австрия;Imperial;Подвесная люстра Eglo Imperial 82742;7028;3;Классика;3;40;E14;230;2;60;E27;230;;;;;5;240;3х40 Вт, 2х60 Вт;3xE14, 2xE27;230;;IP20;I;;;;;70;;;;;;;;;коричневый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Люстры>>Подвесные;82743;Eglo;Австрия;Imperial;Подвесная люстра Eglo Imperial 82743;8558;0;Классика;6;40;E14;230;2;60;E27;230;;;;;8;360;6х40 Вт, 2х60 Вт;6xE14, 2xE27;230;;IP20;I;;;;;70;;;;;;;;;коричневый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Бра настенные;82744;Eglo;Австрия;Imperial;Бра Eglo Imperial 82744;1316;0;Классика;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;I;;;;13;;22;29;;;;;;шнуровой выключатель;коричневый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Бра настенные;82745;Eglo;Австрия;Imperial;Бра Eglo Imperial 82745;2030;28;Классика;2;40;E14;230;;;;;;;;;2;80;40 Вт;E14;230;;IP20;I;;;;36;;19;29;;;;;;;коричневый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Люстры>>Подвесные;82747;Eglo;Австрия;Savoy;Подвесная люстра Eglo Savoy 82747;4580;0;Современный;2;60;E27;230;;;;;;;;;2;120;60 Вт;E27;230;;IP20;I;;;;;31;;;;;;;;;коричневый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Люстры>>Подвесные;82748;Eglo;Австрия;Savoy;Подвесная люстра Eglo Savoy 82748;6824;0;Классика;3;40;E14;230;2;60;E27;230;;;;;5;240;3х40 Вт, 2х60 Вт;3xE14, 2xE27;230;;IP20;I;;;;;74;;;;;;;;;коричневый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Люстры>>Подвесные;82749;Eglo;Австрия;Savoy;Подвесная люстра Eglo Savoy 82749;8762;0;Классика;6;40;E14;230;2;60;E27;230;;;;;8;360;6х40 Вт, 2х60 Вт;6xE14, 2xE27;230;;IP20;I;;;;;74;;;;;;;;;коричневый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Бра настенные;82751;Eglo;Австрия;Savoy;Бра Eglo Savoy 82751;1214;69;Классика;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;I;;;;18;;24;16;;;;;;шнуровой выключатель;коричневый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Бра настенные;82752;Eglo;Австрия;Savoy;Бра Eglo Savoy 82752;1928;0;Классика;2;40;E14;230;;;;;;;;;2;80;40 Вт;E14;230;;IP20;I;;;;41;;21;16;;;;;;шнуровой выключатель;коричневый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Встраиваемые;82791;Eglo;Австрия;Spike;Встраиваемый светильник Eglo Spike 82791;1010;0;Современный;1;50;GU10;230;;;;;;;;;1;50;50 Вт;GU10;230;да;IP20;I;;;;;8;;;;;;6,8;;;никель, хром;;металл;металл;;;;;;;да;;;;Eglo;;310
Торшеры напольные;82807;Eglo;Австрия;Tube;Торшер Eglo Tube 82807;4395;0;Современный;2;60;E27;230;;;;;;;;;2;120;60 Вт;E27;230;;IP20;II;;;;;15;;117,5;;;;;;;алюминий;белый;металл;текстиль;;;;;;;;;;;Eglo;;310
Светильники>>Подвесные;82808;Eglo;Австрия;Sendo;Подвесной светильник Eglo Sendo 82808;2251;0;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;;;23;;110;;;;;;регулировка по высоте;алюминий;белый;металл;текстиль;;;;;;;;;;;Eglo;;310
Бра настенные;82809;Eglo;Австрия;Sendo;Бра Eglo Sendo 82809;1834;1;Современный;1;60;E14;230;;;;;;;;;1;60;60 Вт;E14;230;;IP20;I;;;;12;;15;33;;;;;;шнуровой выключатель;алюминий;белый;металл;текстиль;;;;;;;;;;;Eglo;;310
Настольные лампы;82811;Eglo;Австрия;Sendo;Настольная лампа Eglo Sendo 82811;2171;0;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;II;;;;;16;;37,5;;;;;;шнуровой выключатель;алюминий;белый;металл;текстиль;;;;;;;;;;;Eglo;;310
Торшеры напольные;82842;Eglo;Австрия;Up 2;Торшер Eglo Up 2 82842;1868;230;Современный;1;25;E14;230;1;100;E27;230;;;;;2;125;1х25 Вт, 1х 100 Вт;1xE14, 1xE27;230;;IP20;II;;;;;27,5;;178;;;;;;выключатель на проводе;никель;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Торшеры напольные;82843;Eglo;Австрия;Up 2;Торшер Eglo Up 2 82843;1926;107;Современный;1;25;E14;230;1;100;E27;230;;;;;2;125;1х25 Вт, 1х 100 Вт;1xE14, 1xE27;230;;IP20;II;;;;;27,5;;178;;;;;;выключатель на проводе;желтый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Торшеры напольные;82844;Eglo;Австрия;Up 2;Торшер Eglo Up 2 82844;1868;112;Современный;1;25;E14;230;1;100;E28;230;;;;;2;125;1х25 Вт, 1х100 Вт;1xE14, 1xE27;230;;IP20;II;;;;;27,5;;178;;;;;;выключатель на проводе;коричневый;белый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Подвесные;83008;Eglo;Австрия;Lord;Подвесной светильник Eglo Lord 83008;3203;0;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;;;36;;98;;;;;;;никель;белый, алебастр;металл;стекло;;;;;;;;;;;Eglo;;310
Люстры>>Подвесные;83009;Eglo;Австрия;Lord;Подвесная люстра Eglo Lord 83009;4881;0;Современный;3;40;E14;230;;;;;;;;;3;120;40 Вт;E14;230;;IP20;I;;;;;62;;98;;;;;;;никель;белый, алебастр;металл;стекло;;;;;;;;;;;Eglo;;310
Люстры>>Подвесные;83011;Eglo;Австрия;Lord;Подвесная люстра Eglo Lord 83011;6474;25;Современный;5;40;E14;230;;;;;;;;;5;200;40 Вт;E14;230;;IP20;I;;;;;62;;98;;;;;;;никель;белый, алебастр;металл;стекло;;;;;;;;;;;Eglo;;310
Бра настенные;83012;Eglo;Австрия;Lord;Бра Eglo Lord 83012;1448;1;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;I;;;;;17;23;20,5;;;;;;шнуровой выключатель;никель;белый, алебастр;металл;стекло;;;;;;;;;;;Eglo;;310
Настольные лампы;83014;Eglo;Австрия;Lord;Настольная лампа Eglo Lord 83014;1754;0;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;II;;;;;17;;37;;;;;;;никель;белый, алебастр;металл;стекло;;;;;;;;;;;Eglo;;310
Люстры>>Подвесные;83017;Eglo;Австрия;Lord;Подвесная люстра Eglo Lord 83017;6662;0;Современный;5;40;E14;230;;;;;;;;;5;200;40 Вт;E14;230;;IP20;I;;;;;62;;98;;;;;;;желтый;белый, алебастр;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;83119;Eglo;Австрия;Nemo;Настенный светильник Eglo Nemo 83119;1826;48;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;15;;;9,5;32;;;;;;;никель;молочный;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;83127;Eglo;Австрия;Grafik;Настенно-потолочный светильник Eglo Grafik 83127;687;31;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;18;;;;21;;;;;;;серебряный;белый с рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;83128;Eglo;Австрия;Grafik;Настенно-потолочный светильник Eglo Grafik 83128;876;0;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;28;;;;29;;;;;;;серебряный;белый с рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;83129;Eglo;Австрия;Grafik;Настенно-потолочный светильник Eglo Grafik 83129;583;2;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;18;;;;21;;;;;;;серебряный;белый с рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;83131;Eglo;Австрия;Grafik;Настенно-потолочный светильник Eglo Grafik 83131;806;2;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;28;;;;29;;;;;;;серебряный;белый с рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;83132;Eglo;Австрия;Grafik;Настенно-потолочный светильник Eglo Grafik 83132;653;56;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;18;;;;21;;;;;;;серебряный;белый с рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;83133;Eglo;Австрия;Grafik;Настенно-потолочный светильник Eglo Grafik 83133;806;0;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;28;;;;29;;;;;;;серебряный;белый с рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;83134;Eglo;Австрия;Grafik;Настенно-потолочный светильник Eglo Grafik 83134;602;64;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;18;;;;21;;;;;;;серебряный;белый с рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Настольные лампы;83141;Eglo;Австрия;Antica;Настольная лампа Eglo Antica 83141;2030;135;Классика;1;60;E14;230;;;;;;;;;1;60;60 Вт;E14;230;;IP20;II;;;;;21;;38,6;;;;;;выключатель на проводе;бежевый, золотой;белый;металл;текстиль;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;83193;Eglo;Австрия;Planet 3;Настенно-потолочный светильник Eglo Planet 3 83193;602;206;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;;;29;;;;;;;;;черный;белый с цветным рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;83195;Eglo;Австрия;Planet 3;Настенно-потолочный светильник Eglo Planet 3 83195;602;0;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;;;29;;;;;;;;;белый;белый с цветным рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;83196;Eglo;Австрия;Planet 3;Настенный светильник Eglo Planet 3 83196;432;1;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;I;;;;;29;;;;;;;;;белый;белый с цветным рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;83197;Eglo;Австрия;Planet 3;Настенно-потолочный светильник Eglo Planet 3 83197;762;1;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;;;29;;;;;;;;;хром;белый с цветным рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;83198;Eglo;Австрия;Planet 3;Настенный светильник Eglo Planet 3 83198;500;366;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;I;;;29;;;;;;;;;;;хром;белый с цветным рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенно-потолочные;83199;Eglo;Австрия;Planet 3;Настенно-потолочный светильник Eglo Planet 3 83199;704;115;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;I;;;;;29;;;;;;;;;желтый;белый с цветным рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;83201;Eglo;Австрия;Planet 3;Настенный светильник Eglo Planet 3 83201;500;323;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;I;;;29;;;;;;;;;;;желтый;белый с цветным рисунком;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Подвесные;83202;Eglo;Австрия;Troy 1;Подвесной светильник Eglo Troy 1 83202;1112;131;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;I;;;;;10,5;;110;;;;;;;никель;красный, оранжевый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Подвесные;83203;Eglo;Австрия;Troy 1;Подвесной светильник Eglo Troy 1 83203;3458;99;Современный;3;60;E27;230;;;;;;;;;3;180;60 Вт;E27;230;;IP20;I;;;72;10,5;;;110;;;;;;;никель;красный, оранжевый;металл;стекло;;;;;;;;;;;Eglo;;310
