Категория;Артикул фабрики;Название фабрики;Страна происхождения;Серия;Наименование;Цена;Остатки;Стиль;Кол-во ламп_1;Макс.мощность_1;Тип цоколя_1;Напряжение_1;Кол-во ламп_2;Макс.мощность_2;Тип цоколя_2;Напряжение_2;Кол-во ламп_3;Макс.мощность_3;Тип цоколя_3;Напряжение_3;Количество лампочек (цоколей)_вычисляемое;Общая мощность_вычисляемая;Максимальная мощность 1-ой лампочки_собираемая;Тип цоколя_собираемый;Напряжение_собираемое;Наличие лампочек в комплекте;Степень пыле-влагозащиты (IP);Класс защиты от эл. тока;Вес брутто(кг);Объем (м3);Длина (см);Ширина (см);Диаметр (см);Выступ (см);Высота (см);МАКС высота (см);МИН высота (см);Глубина врезного отверстия;Размер врезного отверстия;Диаметр абажура (см);Дополнительные функции;Цвет каркаса;Цвет плафона/абажура;Материал каркаса;Материал плафона/абажура;Тип хрусталя;Хрусталь;Кованый;Флористика;Детский;Светодиодный;Точечный;Подсветка предметов;На солнечных батареях;Примечание;Поставщик;Внутренний код;Сортировка
Люстры>>Подвесные;A3330LM-4BR;ArteLamp;Италия;EVEREST;Подвесная люстра ArteLamp EVEREST A3330LM-4BR;9300;30;Современный;4;40;G9;230;;;;;;;;;4;160;40 Вт;G9;230;да;;;;0,057;;;50;;78;;;;;;;коричневый;белый;;;;;;;;;;;;металлический каркас, длина цепи - 50 см.;ArteLamp;;140
Светильники>>Подвесные;A3330SP-1BR;ArteLamp;Италия;EVEREST;Подвесной светильник ArteLamp EVEREST A3330SP-1BR;3200;102;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;;;;0,0171;35;35;;;97;;;;;;;коричневый;белый;;;;;;;;;;;;металлический каркас, длина цепи - 50 см.;ArteLamp;;140
Светильники>>Подвесные;A8880SP-1BK;ArteLamp;Италия;WAVERLEY;Подвесной светильник ArteLamp WAVERLEY A8880SP-1BK;3190;204;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;;;;0,0437;35;35;;;140;;;;;;;черный;белый;;;;;;;;;;;;дерево - венге, длина штанги- 100 см.;ArteLamp;;140
Люстры>>Подвесные;A8880SP-4BK;ArteLamp;Италия;WAVERLEY;Подвесная люстра ArteLamp WAVERLEY A8880SP-4BK;6860;118;Современный;4;60;E27;230;;;;;;;;;4;240;60 Вт;E27;230;;;;;0,0365;100;15;;;120;;;;;;;черный;белый;;;;;;;;;;;;дерево - венге, длина штанги - 100 см.;ArteLamp;;140
Люстры>>Подвесные;A1295LM-5BK;ArteLamp;Италия;FUJI;Подвесная люстра ArteLamp FUJI A1295LM-5BK;7300;338;Современный;5;60;E14;;;;;;;;;;5;300;60 Вт;E14;;;;;3,85;0,0504;;;65;;;70;55;;;;регулировка по высоте;черный;белый;;;;;;;;;;;;дерево - венге, длина штанги - 25-40 см.;ArteLamp;;140
Люстры>>Потолочные;A1352PL-3BK;ArteLamp;Италия;AMBIENT;Потолочная люстра ArteLamp AMBIENT A1352PL-3BK;3910;30;Современный;3;60;E14;;;;;;;;;;3;180;60 Вт;E14;;;;;3,35;0,0453;62;18;;;25;;;;;;;черный;белый;;;;;;;;;;;;дерево - венге;ArteLamp;;140
Люстры>>Подвесные;A1352SP-4BK;ArteLamp;Италия;AMBIENT;Подвесная люстра ArteLamp AMBIENT A1352SP-4BK;6610;96;Современный;4;60;E14;;;;;;;;;;4;240;60 Вт;E14;;;;;4,67;0,0707;82;18;;;98;;;;;;;черный;белый;;;;;;;;;;;;дерево - венге, длина штанги - 75 см.;ArteLamp;;140
Светильники>>Настенные;A1352AP-2BK;ArteLamp;Италия;AMBIENT;Настенный светильник ArteLamp AMBIENT A1352AP-2BK;2700;131;Современный;2;60;E14;;;;;;;;;;2;120;60 Вт;E14;;;;;1,46;0,0252;25;;;15;35;;;;;;шнуровой выключатель;черный;белый;;;;;;;;;;;;дерево - венге;ArteLamp;;140
Люстры>>Подвесные;A1038SP-3BK;ArteLamp;Италия;WOODS;Подвесная люстра ArteLamp WOODS A1038SP-3BK;3510;107;Современный;3;40;E14;;;;;;;;;;3;120;40 Вт;E14;;;;;2,76;0,043;80;18;;;133;;;;;;;черный;белый;;;;;;;;;;;;Длина штанги - 110 см.;ArteLamp;;140
Люстры>>Подвесные;A1038SP-3BR;ArteLamp;Италия;WOODS;Подвесная люстра ArteLamp WOODS A1038SP-3BR;3640;96;Современный;3;40;E14;;;;;;;;;;3;120;40 Вт;E14;;;;;2,76;0,043;80;18;;;133;;;;;;;коричневый;белый;;;;;;;;;;;;Длина штанги - 110 см.;ArteLamp;;140
Бра настенные;A5220AP-1AB;ArteLamp;Италия;LINEA;Бра ArteLamp LINEA A5220AP-1AB;1880;151;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;;;;0,0156;;23;;25;22;;;;;;;античная бронза;белый;;;;;;;;;;;;;ArteLamp;;140
Бра настенные;A5220AP-1SS;ArteLamp;Италия;LINEA;Бра ArteLamp LINEA A5220AP-1SS;1797;3;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;;;;0,0156;;23;;25;22;;;;;;;матовое серебро;белый;;;;;;;;;;;;;ArteLamp;;140
Светильники>>Подвесные;A5220SP-1AB;ArteLamp;Италия;LINEA;Подвесной светильник ArteLamp LINEA A5220SP-1AB;2740;40;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;;;;0,0385;;;33;;77;;;;;;;античная бронза;белый;;;;;;;;;;;;Длина цепи - 46 см.;ArteLamp;;140
Люстры>>Подвесные;A8542LM-6GO;ArteLamp;Италия;VERSAILLES;Подвесная хрустальная люстра ArteLamp VERSAILLES A8542LM-6GO;6259;0;Классика;6;40;E14;230;;;;;;;;;6;240;40 Вт;E14;230;;;;;0,055;;;56;;98;;;;;;;золото;;;;;да;;;;;;;;Длина штанги - 40 см.;ArteLamp;;140
Люстры>>Подвесные;A9500PL-5GO;ArteLamp;Италия;VERSAILLES;Подвесная хрустальная люстра ArteLamp VERSAILLES A9500PL-5GO;13748;2;Классика;5;40;E14;230;;;;;;;;;5;200;40 Вт;E14;230;;;;;0,0304;;;40;;42;;;;;;;золото;;;;;да;;;;;;;;;ArteLamp;;140
Светильники>>Настенные;A5175AP-2CC;ArteLamp;Италия;WATERFALL;Настенный хрустальный светильник ArteLamp WATERFALL A5175AP-2CC;4960;24;Классика;2;60;E14;230;;;;;;;;;2;120;60 Вт;E14;230;;;;;0,0608;;25;;20;26;;;;;;;хром;;;;;да;;;;;;;;;ArteLamp;;140
Светильники>>Настенные;A5175AP-2GO;ArteLamp;Италия;WATERFALL;Настенный хрустальный светильник ArteLamp WATERFALL A5175AP-2GO;4960;67;Классика;2;60;E14;230;;;;;;;;;2;120;60 Вт;E14;230;;;;;0,0087;;25;;20;26;;;;;;;золото;;;;;да;;;;;;;;;ArteLamp;;140
Люстры>>Подвесные;A5175LM-3CC;ArteLamp;Италия;WATERFALL;Подвесная хрустальная люстра ArteLamp WATERFALL A5175LM-3CC;12408;0;Классика;3;60;E14;230;;;;;;;;;3;180;60 Вт;E14;230;;;;;0,0608;;;42;;93;;;;;;;хром;;;;;да;;;;;;;;Длина цепи - 50 см.;ArteLamp;;140
