Категория;Артикул фабрики;Название фабрики;Страна происхождения;Серия;Наименование;Цена;Остатки;Стиль;Кол-во ламп_1;Макс.мощность_1;Тип цоколя_1;Напряжение_1;Кол-во ламп_2;Макс.мощность_2;Тип цоколя_2;Напряжение_2;Кол-во ламп_3;Макс.мощность_3;Тип цоколя_3;Напряжение_3;Количество лампочек (цоколей)_вычисляемое;Общая мощность_вычисляемая;Максимальная мощность 1-ой лампочки_собираемая;Тип цоколя_собираемый;Напряжение_собираемое;Наличие лампочек в комплекте;Степень пыле-влагозащиты (IP);Класс защиты от эл. тока;Вес брутто(кг);Объем (м3);Длина (см);Ширина (см);Диаметр (см);Выступ (см);Высота (см);МАКС высота (см);МИН высота (см);Глубина врезного отверстия;Размер врезного отверстия;Диаметр абажура (см);Дополнительные функции;Цвет каркаса;Цвет плафона/абажура;Материал каркаса;Материал плафона/абажура;Тип хрусталя;Хрусталь;Кованый;Флористика;Детский;Светодиодный;Точечный;Подсветка предметов;На солнечных батареях;Примечание;Поставщик;Внутренний код;Сортировка
Настольные лампы;A4034LT-1BC;ArteLamp;Италия;LUXURY;Настольная лампа ArteLamp LUXURY A4034LT-1BC;12820;12;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;4;0,1135;;;;;78;;;;;38;;черный хром;черный;;;;;;;;;;;;литье, латунь;ArteLamp;;140
Настольные лампы;A4034LT-1BR;ArteLamp;Италия;LUXURY;Настольная лампа ArteLamp LUXURY A4034LT-1BR;12820;59;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;4;0,1135;;;;;78;;;;;38;;коричневый;коричневый;;;;;;;;;;;;литье, латунь;ArteLamp;;140
Настольные лампы;A2084LT-1CC;ArteLamp;Италия;LUXURY;Настольная лампа ArteLamp LUXURY A2084LT-1CC;17273;0;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;4,5;0,0658;41;41;;;60;;;;;;;хром;;;;;;;;;;;;;литье, латунь;ArteLamp;;140
Настольные лампы;A1277LT-1CC;ArteLamp;Италия;LUXURY;Настольная лампа ArteLamp LUXURY A1277LT-1CC;10660;62;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;2,6;0,063;41;22;;;70;;;;;;;хром;серебристый;;;;;;;;;;;;литье, латунь;ArteLamp;;140
Настольные лампы;A2038LT-1CC;ArteLamp;Италия;BUBBLES;Настольная лампа ArteLamp BUBBLES A2038LT-1CC;6710;72;Современный;1;100;E27;;;;;;;;;;1;100;100 Вт;E27;;;;;6,9;0,0773;;;;;65;;;;;32;;хром;черный;;;;;;;;;;;;2 шт. в упаковке;ArteLamp;;140
Торшеры напольные;A2038PN-1CC;ArteLamp;Италия;BUBBLES;Торшер ArteLamp BUBBLES A2038PN-1CC;9630;29;Современный;1;100;E27;;;;;;;;;;1;100;100 Вт;E27;;;;;6,6;0,1026;;;;;150;;;;;40;;хром;черный;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A4318LT-1CC;ArteLamp;Италия;COSY;Настольная лампа ArteLamp COSY A4318LT-1CC;6540;146;Современный;1;100;E27;;;;;;;;;;1;100;100 Вт;E27;;;;;8;0,0895;35;35;;;66;;;;;;;хром;;;;;;;;;;;;;2 шт. в упаковке;ArteLamp;;140
Настольные лампы;A4318LT-1BZ;ArteLamp;Италия;COSY;Настольная лампа ArteLamp COSY A4318LT-1BZ;6540;84;Современный;1;100;E27;;;;;;;;;;1;100;100 Вт;E27;;;;;8;0,0895;35;35;;;66;;;;;;;бронза;;;;;;;;;;;;;2 шт. в упаковке;ArteLamp;;140
Настольные лампы;A5555LT-1WH;ArteLamp;Италия;COSY;Настольная лампа ArteLamp COSY A5555LT-1WH;3510;19;Классика;1;40;E27;;;;;;;;;;1;40;40 Вт;E27;;;;;1,79;0,0703;23;23;;;57;;;;;;;белый;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A2351LT-1WH;ArteLamp;Италия;COSY;Настольная лампа ArteLamp COSY A2351LT-1WH;3820;139;Классика;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;1,8;0,0353;;;;;50;;;;;26;;белый;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A5199LT-1WH;ArteLamp;Италия;COSY;Настольная лампа ArteLamp COSY A5199LT-1WH;5260;47;Классика;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;1,8;0,0703;;;;;58;;;;;35;;белый;бежевый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A3117LT-1BC;ArteLamp;Италия;TRENDY;Настольная лампа ArteLamp TRENDY A3117LT-1BC;4540;10;Классика;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;4,1;0,0843;;;;;65;;;;;40;;черный хром;черный;;;;;;;;;;;;2 шт. в упаковке;ArteLamp;;140
Настольные лампы;A9120LT-1BC;ArteLamp;Италия;TRENDY;Настольная лампа ArteLamp TRENDY A9120LT-1BC;2970;34;Классика;1;40;E14;;;;;;;;;;1;40;40 Вт;E14;;;;;3,7;0,0468;;;;;73;;;;;18;;черный хром;черный;;;;;;;;;;;;2 шт. в упаковке;ArteLamp;;140
Настольные лампы;A9120LT-1CC;ArteLamp;Италия;TRENDY;Настольная лампа ArteLamp TRENDY A9120LT-1CC;2970;128;Классика;1;40;E14;;;;;;;;;;1;40;40 Вт;E14;;;;;3,7;0,0468;;;;;73;;;;;18;;хром;белый;;;;;;;;;;;;2 шт. в упаковке;ArteLamp;;140
Настольные лампы;A5370LT-1BC;ArteLamp;Италия;TRENDY;Настольная лампа ArteLamp TRENDY A5370LT-1BC;4590;173;Современный;1;60;E14;;;;;;;;;;1;60;60 Вт;E14;;;;;3;0,0173;28;13;;;40;;;;;;;черный хром;черный;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A5370LT-1CC;ArteLamp;Италия;TRENDY;Настольная лампа ArteLamp TRENDY A5370LT-1CC;4590;83;Современный;1;60;E14;;;;;;;;;;1;60;60 Вт;E14;;;;;3;0,0173;28;13;;;40;;;;;;;хром;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A3841LT-1CC;ArteLamp;Италия;TRENDY;Настольная лампа ArteLamp TRENDY A3841LT-1CC;5190;23;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;;;;0,025;19;19;;;41;;;;;;;;черный;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A5146LT-1WH;ArteLamp;Италия;SELECTION;Настольная лампа ArteLamp SELECTION A5146LT-1WH;5070;2;Классика;1;40;E27;;;;;;;;;;1;40;40 Вт;E27;;;;;2;0,0171;;;;;38;;;;;19;;белый;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A1013LT-1BK;ArteLamp;Италия;WOODS;Настольная лампа ArteLamp WOODS A1013LT-1BK;1210;274;Современный;1;40;E14;;;;;;;;;;1;40;40 Вт;E14;;;;;0,63;0,0125;28;15;;;21;;;;;;;черный;черный;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A1012LT-1BR;ArteLamp;Италия;WOODS;Настольная лампа ArteLamp WOODS A1012LT-1BR;2187;3;Современный;1;40;E14;;;;;;;;;;1;40;40 Вт;E14;;;;;1;0,0049;12;12;;;28;;;;;;;коричневый;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A1012LT-1BK;ArteLamp;Италия;WOODS;Настольная лампа ArteLamp WOODS A1012LT-1BK;2170;0;Современный;1;40;E14;;;;;;;;;;1;40;40 Вт;E14;;;;;1;0,0049;12;12;;;28;;;;;;;черный;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A1010LT-1BR;ArteLamp;Италия;WOODS;Настольная лампа ArteLamp WOODS A1010LT-1BR;1900;235;Современный;1;40;E14;;;;;;;;;;1;40;40 Вт;E14;;;;;0,67;0,0073;15;15;;;30;;;;;;;коричневый;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A1011LT-1BR;ArteLamp;Италия;WOODS;Настольная лампа ArteLamp WOODS A1011LT-1BR;2510;4;Современный;1;40;E14;;;;;;;;;;1;40;40 Вт;E14;;;;;0,7;0,0115;23;14;;;27;;;;;;;коричневый;коричневый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A2872LT-1AB;ArteLamp;Италия;CALIFORNIA;Настольная лампа ArteLamp CALIFORNIA A2872LT-1AB;3810;380;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;2,5;0,0403;39;28;;;55;;;;;;;античная бронза;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A2872LT-1SS;ArteLamp;Италия;CALIFORNIA;Настольная лампа ArteLamp CALIFORNIA A2872LT-1SS;3810;0;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;2,5;0,0403;39;28;;;55;;;;;;;матовое серебро;белый;;;;;;;;;;;;;ArteLamp;;140
Торшеры напольные;A2872PN-1AB;ArteLamp;Италия;CALIFORNIA;Торшер ArteLamp CALIFORNIA A2872PN-1AB;5960;480;Современный;1;100;E27;;;;;;;;;;1;100;100 Вт;E27;;;;;5,5;0,0536;55;34;;;140;;;;;;;античная бронза;белый;;;;;;;;;;;;;ArteLamp;;140
Торшеры напольные;A2872PN-1SS;ArteLamp;Италия;CALIFORNIA;Торшер ArteLamp CALIFORNIA A2872PN-1SS;5960;258;Современный;1;100;E27;;;;;;;;;;1;100;100 Вт;E27;;;;;5,5;0,0536;55;34;;;140;;;;;;;матовое серебро;белый;;;;;;;;;;;;;ArteLamp;;140
Бра настенные;A2872AP-1AB;ArteLamp;Италия;CALIFORNIA;Бра ArteLamp CALIFORNIA A2872AP-1AB;3170;518;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;0,65;0,0194;;25;;42;26;;;;;;выключатель на корпусе;античная бронза ;белый;;;;;;;;;;;;;ArteLamp;;140
Бра настенные;A2872AP-1SS;ArteLamp;Италия;CALIFORNIA;Бра ArteLamp CALIFORNIA A2872AP-1SS;3170;243;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;0,65;0,0194;;25;;42;26;;;;;;выключатель на корпусе;матовое серебро;белый;;;;;;;;;;;;;ArteLamp;;140
Светильники>>Настенные;A2870AP-1WH;ArteLamp;Италия;CALIFORNIA;Настенный светильник ArteLamp CALIFORNIA A2870AP-1WH;1890;17;Современный;1;60;E14;;;;;;;;;;1;60;60 Вт;E14;;;;;0,5;0,0114;25;;;13;16;;;;;;;белый;белый;;;;;;;;;;;;;ArteLamp;;140
Бра настенные;A9246AP-2SS;ArteLamp;Италия;HALL;Бра ArteLamp HALL A9246AP-2SS со светодиодной лампой;3640;33;Современный;1;40;E27;;1;3;LED;;;;;;2;43;1х40 Вт, 1х3 Вт;1хE27, 1хLED;;;;;1,36;0,0182;;18;;23;55;;;;;;выключатель на корпусе;матовое серебро;черный;;;;;;;;да;;;;;ArteLamp;;140
Бра настенные;A9246AP-2AB;ArteLamp;Италия;HALL;Бра ArteLamp HALL A9246AP-2AB со светодиодной лампой;3640;134;Современный;1;40;E27;;1;3;LED;;;;;;2;43;1х40 Вт, 1х3 Вт;1хE27, 1хLED;;;;;1,36;0,0182;;18;;23;55;;;;;;выключатель на корпусе;античная бронза;белый;;;;;;;;да;;;;;ArteLamp;;140
Бра настенные;A9248AP-1SS;ArteLamp;Италия;HALL;Бра ArteLamp HALL A9248AP-1SS;2020;53;Современный;1;40;E27;;;;;;;;;;1;40;40 Вт;E27;;;;;1,2;0,0151;;25;;22;30;;;;;;выключатель на корпусе;матовое серебро;черный;;;;;;;;;;;;;ArteLamp;;140
Бра настенные;A9248AP-1AB;ArteLamp;Италия;HALL;Бра ArteLamp HALL A9248AP-1AB;2020;27;Современный;1;40;E27;;;;;;;;;;1;40;40 Вт;E27;;;;;1,2;0,0151;;25;;22;30;;;;;;выключатель на корпусе;античная бронза;белый;;;;;;;;;;;;;ArteLamp;;140
Бра настенные;A7951AP-1PB;ArteLamp;Италия;HALL;Бра ArteLamp HALL A7951AP-1PB;1350;252;Классика;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;;;;0,0169;;17;;25;27;;;;;;выключатель на корпусе;полированная медь;белый;;;;;;;;;;;;;ArteLamp;;140
Бра настенные;A7952AP-1PB;ArteLamp;Италия;HALL;Бра ArteLamp HALL A7952AP-1PB;2400;136;Классика;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;;;;0,0164;;20;;36;27;;;;;;шнуровой выключатель;полированная медь;белый;;;;;;;;;;;;;ArteLamp;;140
Бра настенные;A7953AP-1CC;ArteLamp;Италия;HALL;Бра ArteLamp HALL A7953AP-1CC со светодиодной лампой;7200;2;Современный;1;60;E27;230;1;1;LED;;;;;;2;61;1х60 Вт, 1х1 Вт;1хE27, 1хLED;230;;;;;0,02;;18;;25;32;;;;;;выключатель на корпусе;хром;белый;;;;;;;;да;;;;;ArteLamp;;140
Настольные лампы;A3920LT-1SS;ArteLamp;Италия;CASUAL;Настольная лампа ArteLamp CASUAL A3920LT-1SS;940;146;Современный;1;40;E14;;;;;;;;;;1;40;40 Вт;E14;;;;;0,58;0,0045;;;;;26;;;;;15;сенсорный выключатель;матовое серебро;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A6020LT-1WH;ArteLamp;Италия;CASUAL;Настольная лампа ArteLamp CASUAL A6020LT-1WH;610;75;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;;;;;;;;;20;;;;;20;;белый;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A6025LT-1WH;ArteLamp;Италия;CASUAL;Настольная лампа ArteLamp CASUAL A6025LT-1WH;660;80;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;;;;;;;;;25;;;;;25;;;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A6030LT-1WH;ArteLamp;Италия;CASUAL;Настольная лампа ArteLamp CASUAL A6030LT-1WH;1060;162;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;;;;;;;;;30;;;;;30;;;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A6710LT-1WH;ArteLamp;Италия;CASUAL;Настольная лампа ArteLamp CASUAL A6710LT-1WH;770;58;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;;;;;;;;;27;;;;;10;;;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A9359LT-1SS;ArteLamp;Италия;SOLID;Настольная лампа ArteLamp SOLID A9359LT-1SS;3439;34;Современный;1;40;E27;;;;;;;;;;1;40;40 Вт;E27;;;;;2,15;0,0318;50;18;;;53;;;;;;;матовое серебро;матовое серебро;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A3212LT-1GO;ArteLamp;Италия;SOLID;Настольная лампа ArteLamp SOLID A3212LT-1GO;3440;81;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;1,6;0,0085;20;20;;;41;;;;;;шнуровой выключатель;золото;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A3215LT-1AB;ArteLamp;Италия;SOLID;Настольная лампа ArteLamp SOLID A3215LT-1AB;3910;82;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;1,6;0,0085;20;20;;;41;;;;;;шнуровой выключатель;античная бронза;оранжевый;;;;;;;;;;;;;ArteLamp;;140
Торшеры напольные;A1713PN-1AB;ArteLamp;Италия;EASY;Торшер ArteLamp EASY A1713PN-1AB;3780;29;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;;;;0,1082;;;;;168;;;;;52;;античная бронза;белый;;;;;;;;;;;;;ArteLamp;;140
Торшеры напольные;A1713PN-1SS;ArteLamp;Италия;EASY;Торшер ArteLamp EASY A1713PN-1SS;3780;33;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;;;;0,1082;;;;;168;;;;;52;;матовое серебро;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A2250LT-1AB;ArteLamp;Италия;FLAMINGO;Настольная лампа ArteLamp FLAMINGO A2250LT-1AB;2280;263;Современный;1;40;G9;230;;;;;;;;;1;40;40 Вт;G9;230;да;;;;0,0134;38;15;;;40;;;;;;шнуровой выключатель;античная бронза;античная бронза;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A2250LT-1CC;ArteLamp;Италия;FLAMINGO;Настольная лампа ArteLamp FLAMINGO A2250LT-1CC;2280;303;Современный;1;40;G9;230;;;;;;;;;1;40;40 Вт;G9;230;да;;;;0,0134;38;15;;;40;;;;;;шнуровой выключатель;хром;хром;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A2250LT-1SS;ArteLamp;Италия;FLAMINGO;Настольная лампа ArteLamp FLAMINGO A2250LT-1SS;2270;458;Современный;1;40;G9;230;;;;;;;;;1;40;40 Вт;G9;230;да;;;;0,0134;38;15;;;40;;;;;;шнуровой выключатель;матовое серебро;матовое серебро;;;;;;;;;;;;;ArteLamp;;140
Торшеры напольные;A2250PN-1AB;ArteLamp;Италия;FLAMINGO;Торшер ArteLamp FLAMINGO A2250PN-1AB;3330;25;Современный;1;40;G9;230;;;;;;;;;1;40;40 Вт;G9;230;да;;;;0,0223;50;23;;;158;;;;;;шнуровой выключатель;античная бронза;античная бронза;;;;;;;;;;;;;ArteLamp;;140
Торшеры напольные;A2250PN-1CC;ArteLamp;Италия;FLAMINGO;Торшер ArteLamp FLAMINGO A2250PN-1CC;3330;26;Современный;1;40;G9;230;;;;;;;;;1;40;40 Вт;G9;230;да;;;;0,0223;50;23;;;158;;;;;;шнуровой выключатель;хром;хром;;;;;;;;;;;;;ArteLamp;;140
Торшеры напольные;A2250PN-1SS;ArteLamp;Италия;FLAMINGO;Торшер ArteLamp FLAMINGO A2250PN-1SS;3330;118;Современный;1;40;G9;230;;;;;;;;;1;40;40 Вт;G9;230;да;;;;0,0223;50;23;;;158;;;;;;шнуровой выключатель;матовое серебро;матовое серебро;;;;;;;;;;;;;ArteLamp;;140
Бра настенные;A6842AP-2AB;ArteLamp;Италия;DUCHY;Бра ArteLamp DUCHY A6842AP-2AB;7020;164;Классика;2;60;E14;230;;;;;;;;;2;120;60 Вт;E14;230;;;;;0,0206;31;;;15;29;;;;;;;античная бронза;;;;;;;;;;;;;литье, латунь;ArteLamp;;140
Люстры>>Подвесные;A6842LM-5AB;ArteLamp;Италия;DUCHY;Подвесная люстра ArteLamp DUCHY A6842LM-5AB;18760;74;Классика;5;60;E14;230;;;;;;;;;5;300;60 Вт;E14;230;;;;;0,0484;;;50;;89;;;;;;;античная бронза;;;;;;;;;;;;;литье, латунь, длина цепи - 54 см.;ArteLamp;;140
Люстры>>Подвесные;A6842LM-8AB;ArteLamp;Италия;DUCHY;Подвесная люстра ArteLamp DUCHY A6842LM-8AB;26320;59;Классика;8;60;E14;230;;;;;;;;;8;480;60 Вт;E14;230;;;;;0,0756;;;60;;90;;;;;;;античная бронза;;;;;;;;;;;;;литье, латунь, длина цепи - 54 см.;ArteLamp;;140
Люстры>>Подвесные;A8556LM-1-6AB;ArteLamp;Италия;MADEIRA;Подвесная люстра ArteLamp MADEIRA A8556LM-1-6AB;9310;43;Классика;6;40;E14;;;;;;;;;;6;240;40 Вт;E14;;;;;6,36;0,1404;;;66;;148;;;;;;;античная бронза;;;;;;;;;;;;;Длина цепи - 95 см.;ArteLamp;;140
Бра настенные;A8556AP-2AB;ArteLamp;Италия;MADEIRA;Бра ArteLamp MADEIRA A8556AP-2AB;4725;36;Классика;2;40;E14;;;;;;;;;;2;80;40 Вт;E14;;;;;0,588;0,0383;;33;;20;35;;;;;;;античная бронза;;;;;;;;;;;;;;ArteLamp;;140
Бра настенные;A1020AP-2AB;ArteLamp;Италия;FLEMISH;Бра ArteLamp FLEMISH A1020AP-2AB;7690;211;Классика;2;60;E14;230;;;;;;;;;2;120;60 Вт;E14;230;;;;;0,0172;;37;;25;26;;;;;;;античная бронза;белый;;;;;;;;;;;;литье, латунь;ArteLamp;;140
Люстры>>Подвесные;A1020LM-12AB;ArteLamp;Италия;FLEMISH;Подвесная люстра ArteLamp FLEMISH A1020LM-12AB;35810;38;Классика;12;60;E14;230;;;;;;;;;12;720;60 Вт;E14;230;;;;;0,1146;;;67;;118;;;;;;;античная бронза;белый;;;;;;;;;;;;литье, латунь, длина цепи - 60 см.;ArteLamp;;140
Люстры>>Подвесные;A1020LM-5AB;ArteLamp;Италия;FLEMISH;Подвесная люстра ArteLamp FLEMISH A1020LM-5AB;17950;120;Классика;5;60;E14;230;;;;;;;;;5;300;60 Вт;E14;230;;;;;0,053;;;58;;104;;;;;;;античная бронза;белый;;;;;;;;;;;;литье, латунь, длина цепи - 60 см.;ArteLamp;;140
Люстры>>Подвесные;A1020LM-8AB;ArteLamp;Италия;FLEMISH;Подвесная люстра ArteLamp FLEMISH A1020LM-8AB;25510;125;Классика;8;60;E14;230;;;;;;;;;8;480;60 Вт;E14;230;;;;;0,0798;;;67;;104;;;;;;;античная бронза;белый;;;;;;;;;;;;литье, латунь, длина цепи - 60 см.;ArteLamp;;140
Светильники>>Подвесные;A6509SP-3CC;ArteLamp;Италия;RIMINI;Подвесной светильник ArteLamp RIMINI A6509SP-3CC;7950;88;Современный;3;60;E14;;;;;;;;;;3;180;60 Вт;E14;;;;;4,7;0,0564;;;27;;137;;;;;;;хром;;;;;;;;;;;;;литье, латунь, длина цепи - 85 см.;ArteLamp;;140
Светильники>>Подвесные;A6503SP-3AB;ArteLamp;Италия;RIMINI;Подвесной светильник ArteLamp RIMINI A6503SP-3AB;11810;70;Современный;3;60;E14;;;;;;;;;;3;180;60 Вт;E14;;;;;5,6;0,0671;;;25;;139;;;;;;;античная бронза;;;;;;;;;;;;;литье, латунь, длина цепи - 85 см.;ArteLamp;;140
Светильники>>Подвесные;A6503SP-3CC;ArteLamp;Италия;RIMINI;Подвесной светильник ArteLamp RIMINI A6503SP-3CC;12220;80;Современный;3;60;E14;230;;;;;;;;;3;180;60 Вт;E14;230;;;;;0,0608;;;25;;139;;;;;;;хром;;;;;;;;;;;;;литье, латунь, длина цепи - 85 см.;ArteLamp;;140
Светильники>>Подвесные;A6509SP-3AB;ArteLamp;Италия;RIMINI;Подвесной светильник ArteLamp RIMINI A6509SP-3AB;7950;244;Современный;3;60;E14;230;;;;;;;;;3;180;60 Вт;E14;230;;;;;0,054;;;27;;142;;;;;;;античная бронза;;;;;;;;;;;;;литье, латунь, длина цепи - 90 см.;ArteLamp;;140
Люстры>>Подвесные;A6506SP-6AB;ArteLamp;Италия;RIMINI;Подвесная люстра ArteLamp RIMINI A6506SP-6AB;11150;59;Современный;6;60;E14;;;;;;;;;;6;360;60 Вт;E14;;;;;3,8;0,0594;;;33;;126;;;;;;;античная бронза;;;;;;;;;;;;;литье, латунь, длина цепи - 90 см.;ArteLamp;;140
Светильники>>Подвесные;A6501SP-1AB;ArteLamp;Италия;RIMINI;Подвесной светильник ArteLamp RIMINI A6501SP-1AB;5380;46;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;;;;0,02;;;18;;175;;;;;;;античная бронза;;;;;;;;;;;;;литье, латунь, длина цепи - 53 см.;ArteLamp;;140
Светильники>>Подвесные;A6501SP-1CC;ArteLamp;Италия;RIMINI;Подвесной светильник ArteLamp RIMINI A6501SP-1CC;4760;0;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;;;;0,0212;;;18;;175;;;;;;;хром;;;;;;;;;;;;;литье, латунь, длина цепи - 90 см.;ArteLamp;;140
Светильники>>Подвесные;A6501SP-1PB;ArteLamp;Италия;RIMINI;Подвесной светильник ArteLamp RIMINI A6501SP-1PB;4367;1;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;;;;0,0212;;;18;;85;;;;;;;полированная медь;;;;;;;;;;;;;литье, латунь, длина цепи - 90 см.;ArteLamp;;140
Светильники>>Подвесные;A6505SP-3AB;ArteLamp;Италия;RIMINI;Подвесной светильник ArteLamp RIMINI A6505SP-3AB;7810;95;Современный;3;60;E14;;;;;;;;;;3;180;60 Вт;E14;;;;;;0,0611;;;22;;127;;;;;;;античная бронза;;;;;;;;;;;;;литье, латунь, длина цепи - 53 см.;ArteLamp;;140
Светильники>>Подвесные;A6505SP-3CC;ArteLamp;Италия;RIMINI;Подвесной светильник ArteLamp RIMINI A6505SP-3CC;7120;41;Современный;3;60;E14;230;;;;;;;;;3;180;60 Вт;E14;230;;;;;0,0305;;;22;;127;;;;;;;хром;;;;;;;;;;;;;литье, латунь, длина цепи - 90 см.;ArteLamp;;140
Светильники>>Подвесные;A6505SP-3PB;ArteLamp;Италия;RIMINI;Подвесной светильник ArteLamp RIMINI A6505SP-3PB;3910;10;Современный;3;60;E14;230;;;;;;;;;3;180;60 Вт;E14;230;;;;;0,0336;;;22;;97;;;;;;;полированная медь;;;;;;;;;;;;;литье, латунь, длина цепи - 90 см.;ArteLamp;;140
Люстры>>Подвесные;A3560LM-3GO;ArteLamp;Италия;ARMSTRONG;Подвесная люстра ArteLamp ARMSTRONG A3560LM-3GO;6750;41;Классика;3;60;E27;;;;;;;;;;3;180;60 Вт;E27;;;;;5,2;0,143;;;66;;120;;;;;;;золото;белый;;;;;;;;;;;;Раздельное включение источников света, длина цепи - 60 см.;ArteLamp;;140
Люстры>>Подвесные;A3560LM-5GO;ArteLamp;Италия;ARMSTRONG;Подвесная люстра ArteLamp ARMSTRONG A3560LM-5GO;9180;118;Классика;5;60;E27;;;;;;;;;;5;300;60 Вт;E27;;;;;8;0,2114;;;66;;120;;;;;;;золото;белый;;;;;;;;;;;;Длина цепи - 60 см.;ArteLamp;;140
Светильники>>Подвесные;A3560SP-1GO;ArteLamp;Италия;ARMSTRONG;Подвесной светильник ArteLamp ARMSTRONG A3560SP-1GO;2565;27;Классика;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;1,7;0,022;;;25;;101;;;;;;;золото;белый;;;;;;;;;;;;Длина цепи - 60 см.;ArteLamp;;140
Светильники>>Подвесные;A3560SP-3GO;ArteLamp;Италия;ARMSTRONG;Подвесной светильник ArteLamp ARMSTRONG A3560SP-3GO;7425;2;Классика;3;60;E27;;;;;;;;;;3;180;60 Вт;E27;;;;;4,7;0,0754;;;45;;96;;;;;;;золото;белый;;;;;;;;;;;;Длина цепи - 60 см.;ArteLamp;;140
Светильники>>Подвесные;A3340SP-1BG;ArteLamp;Италия;NAUTILUS;Подвесной светильник ArteLamp NAUTILUS A3340SP-1BG;8370;0;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;3,8;0,1072;;;40;;100;;;;;;;старая медь;белый;;;;;;;;;;;;Длина цепи - 60 см.;ArteLamp;;140
Светильники>>Подвесные;A3241SP-1AB;ArteLamp;Италия;NAUTILUS;Подвесной светильник ArteLamp NAUTILUS A3241SP-1AB;10660;0;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;3,3;0,0795;;;41;;103;;;;;;;античная бронза;;;;;;;;;;;;;Длина цепи - 60 см.;ArteLamp;;140
Светильники>>Подвесные;A3232SP-1AB;ArteLamp;Италия;NAUTILUS;Подвесной светильник ArteLamp NAUTILUS A3232SP-1AB;10660;14;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;3,8;0,0694;;;32;;101;;;;;;;античная бронза;белый;;;;;;;;;;;;Длина цепи - 60 см.;ArteLamp;;140
