887;L'ARTE LUCE;ИТАЛИЯ;RIMINI;L17121.03;Бра Rimini кованое;Бра Rimini;Светильники НАСТЕННЫЕ;L17121.03;1;шт;Бра;1;;60;Однорожковое бра Rimini. Плафоны выполнены из стекла в виде оплывающей свечи.;ковка;220;;;;;;;;;18;;;20;;;;;12;;;;;;;;;;;;;;;395;0;Светильники НАСТЕННЫЕ ковка
1260;L'ARTE LUCE;ИТАЛИЯ;APRILLA;L19521.40;Бра Aprilla;Бра Aprilla;Светильники НАСТЕННЫЕ;L19521.40;1;шт;Бра;1;E14;60;Бра Aprilla, однорожковое.;флористика;;;;;;;;;;16;;;22;;;;;12;;;;;;;Wooden veins white+Gold wooden;;;;;;;;1866;2;Светильники НАСТЕННЫЕ флористика
1263;L'ARTE LUCE;ИТАЛИЯ;BENEVENTO;L15821.35;Бра Benevento;Бра Benevento;Светильники НАСТЕННЫЕ;L15821.35;1;шт;Бра;1;E14;60;Бра Benevento, однорожковое.;флористика;;;;;;;;;;18;;;38;;;;;16;;;;;;;Wooden veins white+Gold wooden;;;;;;;;1680;22;Светильники НАСТЕННЫЕ флористика
1264;L'ARTE LUCE;ИТАЛИЯ;BENEVENTO;L15828.35;Бра Benevento настенное;Бра Benevento;Светильники НАСТЕННЫЕ;L15828.35;1;шт;Бра;1;E14;60;Бра Benevento, однорожковое.;флористика;;;;;;;;;;18;;;38;;;;;16;;;;;;;Wooden veins white+Gold wooden;;;;;;;;2427;19;Светильники НАСТЕННЫЕ флористика
1274;L'ARTE LUCE;ИТАЛИЯ;BOZEN;L12321.36;Бра Bozen кованое;Бра Bozen;Светильники НАСТЕННЫЕ;L12321.36;1;шт;Бра;1;E14;60;Бра Bozen, однорожковое.;ковка;;;;;;;;;;16;;;36;;;;;13;;;;;;Amber graduation glass;FRIC;;;;;;;;2511;25;Светильники НАСТЕННЫЕ ковка
1297;L'ARTE LUCE;ИТАЛИЯ;VICENZA;L55521.41;Бра Vicenza;Бра Vicenza;Светильники НАСТЕННЫЕ;L55521.41;1;шт;Бра;1;E14;60;Бра Vicenza, однорожковое.;ковка;;;;;;;;;;13;;;41;;;;;12;;;;;;;Sand golden;;;;;;;;2864;149;Светильники НАСТЕННЫЕ ковка
1305;L'ARTE LUCE;ИТАЛИЯ;MALPENSA;L77721.42;Бра Malpensa настенное;Бра Malpensa;Светильники НАСТЕННЫЕ;L77721.42;1;шт;Бра;1;E27;60;Бра Malpensa, однорожковое.;классика;;;;;;;;;;16;;;49;;;;;23;;;;;;DGN;Amber sunset glass;;;;;;;;2871;1;Светильники НАСТЕННЫЕ классика
822;JOALPA;ИСПАНИЯ;POPA;8152404302;Бра Popa кованое;Бра Popa;Светильники НАСТЕННЫЕ;A-2078/1 С-25-10;1;шт;Бра;1;E14;40;Однорожковое бра Popa. Выполнена под старину. Плафон из стекла с элементами фигурной резьбы. Хрустальные подвески. Вставки из патинированного золота.;ковка;220;;;;;;;;;10;;;36;;;;;22;;;;;;Transparent;Marron oxido/Oro viejo;;;;;;;;3499;0;Светильники НАСТЕННЫЕ ковка
845;JOALPA;ИСПАНИЯ;TERRA;8152406303;Бра Terra кованое;Бра Terra;Светильники НАСТЕННЫЕ;A-TERRA-P С-25;1;шт;Бра;1;Е27;100;Бра Terra. Выполнена в стиле средневекового замка. Самая продаваемая серия.;ковка;220;;;;;;;;;15;;;47;;;;;19;;;;;;;Marron oxido;;;;;;;;9258;0;Светильники НАСТЕННЫЕ ковка
846;JOALPA;ИСПАНИЯ;TERRA;8152406309;Бра Terra кованое;Бра Terra;Светильники НАСТЕННЫЕ;A-TERRA-P С-10;1;шт;Бра;1;Е27;100;Бра Terra. Выполнена в стиле средневекового замка. Самая продаваемая серия.;ковка;220;;;;;;;;;15;;;47;;;;;19;;;;;;;Oro viejo;;;;;;;;9258;0;Светильники НАСТЕННЫЕ ковка
